hmdbId,kingdom,superClass,class,subClass
HMDB00902,Organic compounds,Nucleosides, nucleotides, and analogues,(5'->5')-dinucleotides,NA
HMDB01487,Organic compounds,Nucleosides, nucleotides, and analogues,(5'->5')-dinucleotides,NA
HMDB00229,Organic compounds,Nucleosides, nucleotides, and analogues,Pyridine nucleotides,Nicotinamide nucleotides
HMDB00855,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB01488,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB01179,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine nucleotide sugars
HMDB00207,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00573,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB05065,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB05765,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB03374,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00214,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB10316,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB00220,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB03229,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00222,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00210,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01858,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols and derivatives
HMDB00847,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00826,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB06344,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00159,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA
HMDB11177,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01429,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal phosphates
HMDB02142,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal phosphates
HMDB00263,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Phosphate esters
HMDB00224,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Phosphate esters
HMDB04610,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,NA
HMDB00070,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00716,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB10318,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides
HMDB04025,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB06695,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00162,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00824,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB02752,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
HMDB01220,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
HMDB00767,Organic compounds,Nucleosides, nucleotides, and analogues,Nucleoside and nucleotide analogues,NA
HMDB01414,Organic compounds,Organonitrogen compounds,Amines,Primary amines
HMDB01545,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes
HMDB00017,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB00250,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal pyrophosphates
HMDB03072,Organic compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives
HMDB00232,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB01930,Organic compounds,Organonitrogen compounds,Amines,Aralkylamines
HMDB00244,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines
HMDB00283,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00621,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB03371,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00279,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00939,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB01895,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB00271,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB06088,Organic compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives
HMDB01068,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB03406,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00187,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB02108,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00247,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB05831,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Phosphate esters
HMDB01257,Organic compounds,Organonitrogen compounds,Amines,Secondary amines
HMDB01256,Organic compounds,Organonitrogen compounds,Amines,Secondary amines
HMDB00269,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,NA
HMDB00252,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,NA
HMDB00256,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
HMDB04827,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00827,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB06547,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB00848,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00254,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB00956,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB00251,Organic compounds,Organic acids and derivatives,Sulfonic acids and derivatives,Sulfonic acids
HMDB00234,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids
HMDB02825,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB04136,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB00943,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB00167,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00273,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB00262,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB00725,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00301,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB00875,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB00929,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB00158,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA
HMDB00888,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00300,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
HMDB00289,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB00294,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas
HMDB00296,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleosides,NA
HMDB13128,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00883,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00291,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetic acid derivatives
HMDB05016,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropylamines
HMDB00292,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB00299,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB00568,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB02917,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB00098,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00654,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB01644,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00699,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB02166,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00019,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives
HMDB00001,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00764,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA
HMDB00707,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives
HMDB04982,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01178,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine nucleotide sugars
HMDB00208,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives
HMDB03416,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00944,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02013,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00062,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB05047,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB03797,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB05048,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB00099,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01032,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Sulfated steroids
HMDB00121,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Pterins and derivatives
HMDB00631,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB03178,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Metallotetrapyrroles
HMDB00745,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01925,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA
HMDB02985,Organic compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives
HMDB00736,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00691,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives
HMDB00765,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB02005,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00835,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
HMDB01015,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00821,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00779,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA
HMDB00748,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA
HMDB00205,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpyruvic acid derivatives
HMDB02075,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
HMDB00239,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
HMDB00243,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives
HMDB01185,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB00792,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01348,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids
HMDB00953,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00951,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00036,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB02580,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB01878,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
HMDB00935,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine nucleotide sugars
HMDB00946,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB01341,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB00033,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01423,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB00626,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB02366,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB06213,Organic compounds,Organooxygen compounds,Alcohols and polyols,Polyols
HMDB00272,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB03681,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01494,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Organic phosphoric acids
HMDB00646,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00754,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01252,Organic compounds,Organonitrogen compounds,Quaternary ammonium salts,NA
HMDB00996,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01264,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
HMDB01473,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
HMDB01120,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Isoprenoid phosphates
HMDB00648,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids
HMDB00666,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00720,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives
HMDB10378,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01138,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00618,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB01548,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB00258,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB00947,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00991,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB06557,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine nucleotide sugars
HMDB01123,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB00538,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB01546,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB01564,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB00653,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB01511,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00058,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Cyclic purine nucleotides
HMDB01127,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB01440,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine deoxyribonucleotides
HMDB01227,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
HMDB01201,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB01397,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB00175,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB00738,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles
HMDB00193,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB01874,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB00217,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine nucleotide sugars
HMDB00295,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB00290,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine nucleotide sugars
HMDB00288,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB00285,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleotides,Pyrimidine ribonucleotides
HMDB07098,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols
HMDB11561,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols
HMDB00014,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB01202,Organic compounds,Nucleosides, nucleotides, and analogues,Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
HMDB00529,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00763,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB04704,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00518,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00651,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB04231,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides
HMDB00637,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00138,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00708,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00672,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00715,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
HMDB01186,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
HMDB00772,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00791,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB03213,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
HMDB00896,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00874,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB00872,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00898,Organic compounds,Organonitrogen compounds,Amines,Aralkylamines
HMDB00711,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01008,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Bilirubins
HMDB01847,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB00678,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01860,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB01403,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
HMDB01066,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB03252,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
HMDB11103,Organic compounds,Alkaloids and derivatives,NA,NA
HMDB04072,Organic compounds,Benzenoids,Benzene and substituted derivatives,Styrenes
HMDB00895,Organic compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
HMDB02064,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
HMDB00259,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
