hmdbId,kingdom,superClass,class,subClass
HMDB06569,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB12458,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB01496,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB06119,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB00201,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00034,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB00050,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB11617,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB03540,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB00045,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB00536,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleotides,Purine ribonucleotides
HMDB00448,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02226,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01432,Organic compounds,Organonitrogen compounds,Guanidines,NA
HMDB00161,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB03459,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB06899,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB04041,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00407,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01893,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids
HMDB02759,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Sulfated steroids
HMDB00194,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01851,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB00508,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
HMDB00539,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB02212,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01043,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB00517,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00052,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00044,Organic compounds,Organoheterocyclic compounds,Dihydrofurans,Furanones
HMDB00168,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00191,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
