Biochemical,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
Kynurenine,0.91234761061486302,0.8951577217103307,0.21133125795114122,0.55311275679780325,0.76047544879341344,0.99915863114321368,0.38812931137267331,0.30913036526578186,0.44957769883041587,0.5805565012676841,1.0008413688567863,0.7609518009614249,0.20960663470385807,0.26336018996611016,0.70769701606805924,0.35165273448854478,1.712462989040618,1.143125377671244,0.64273845935277951,0.71762864523967285,0.34814882421306687,1.447333705067682,0.86483388832315533,1.6043778602093399,1.2810406012992823,1.1851347622520039,0.73303352576341962,1.0351190211721371,1.5371130298940723,1.1775880487355848,1.7014477003699902,1.9086340967563042,1.802519033244099,4.4872332760129723,3.1175886742627315,1.255462912920275,2.2662821896058007,1.751486496017139,3.7479965567949982,9.2178054660872295,25.759075802517231,0.7394712808610443
Lactate,0.97200688105337429,0.34824420600039424,1.0519158102392399,0.65155466177219135,1.3098866920766372,0.43101176446994205,1.3090854191688641,1.2095552692614278,0.78261826779080579,1.2030342783803336,0.90410828039891877,0.43375640027444978,0.69503847838372435,0.7395687246399224,0.70014266089986688,0.65746824847673502,0.68487288316344364,0.90492566014308418,0.66914115438002197,0.91442761924387583,0.75020141113631578,0.72318294401349681,1.0556094181832243,1.1362988792081123,0.49542007985033604,1.0612925730926794,1.0780534491143245,1.2666032881302351,0.99690952143238587,1.1127029466619884,0.90972545812963734,1.1390313375900012,1.242804279456746,1.693344408660121,1.2250634587107447,1.4547781032883988,1.3297418747930776,1.5486860556283342,0.98850054106058627,1.5142139928224254,1.4811698594049976,1.003090478567614
Laurate (12:0),0.61904800486125178,0.98419282965363586,0.62083046384443996,0.87186550536763219,0.92870974275876039,0.82553777597731415,0.88165282560259262,0.61904800486125178,0.95019647559246501,0.61904800486125178,0.61904800486125178,0.76895280534737698,0.61904800486125178,0.97800283573020053,0.61904800486125178,1.1397690905408142,0.82198906218351231,0.86381203159813646,0.61904800486125178,0.71071500911484708,0.88952805347376951,0.92428600364593883,0.61904800486125178,0.9628357302005266,0.77859428802916752,0.61904800486125178,1.0158071703463643,1.0909945310917561,2.9067206805752481,3.1139418351225441,2.670084221186956,3.0892059177638242,6.9909262126797644,5.6449485760583356,4.3832241231517122,2.9587522787117684,1.460984403483897,1.6519829856187969,6.4504959708324892,2.4462629127000204,4.0804715786915127,1.1797123759368038
Leucine,0.99165406277940493,0.29143770185066747,0.5032715110661331,0.58053741882376264,0.88541298342234698,0.33205555890772659,0.95123332149666506,0.68620059850056248,0.47420517073499935,0.75437320880275882,1.2671633003037941,0.60444254657763596,0.69102382093521519,0.94544039903827637,0.5505887418904768,0.51320289727332935,1.3627338799368891,1.1740970060791025,0.42427639537734835,1.008345937220595,0.91074497341452099,0.91757065979645702,0.93450877008771194,0.90441412436508517,0.77165383710041568,1.1513594941530878,1.2233476230489932,1.7619303880573525,1.263350144001167,1.3710934082667656,1.6422024350950051,2.7638470798717756,2.6320113647685526,2.6734337680070182,2.1263877255676147,2.034998527283169,2.4072139473818699,2.1406371125694719,2.3668467794861665,2.6162442830138604,2.8277545610957286,1.4202096787022547
Linoleate (18:2n6),0.80683204825679655,0.20764515728687122,0.51308662418153939,0.79724998896363997,0.97813134850992478,0.37329550707701381,1.0528104403132827,0.50051600188909162,0.38780186526978278,1.0127896836271226,0.61186246279913736,0.74599463424669976,0.60397292301951477,1.0625440933817656,0.68102420752688086,0.57007089091328589,1.2295587871498455,0.9515091493506872,0.2927625633341302,0.53419813972781416,1.4336339943210639,0.5733043361650273,0.93467057922982033,0.98721031637287737,1.5969587956457603,0.98085670473447351,1.7484093065251125,2.020416849564834,5.1572435587221808,2.5332319376433166,5.852490927279133,1.4684106059003297,6.7284497370847518,5.5314986044210412,5.3301154361611127,3.7436499283261297,0.98381694801749497,1.36023761907816,7.1696159430007409,4.5606720768430513,2.3557855930939873,5.6046634243367981
Lysine,1.3566268729220756,0.35281455678355444,0.35829643818761103,0.62780714218501021,0.83177086673550116,0.4846438066694741,1.1432400528203137,0.70150235934262961,0.60410781122406765,0.82786311734693907,1.6291793255224807,0.51846520910218119,1.028401734404722,1.1496890260612198,0.7806918744021919,0.58877190646894129,1.6463753690260334,1.0918644860752311,0.44510757018552122,0.8844358678708244,0.59694680862333893,1.0864551933166937,0.97159826559527773,0.93982188381543719,1.2712507593794118,1.0399284159269437,0.89406756150339173,1.4130565656740803,0.93594313359872205,0.77263953112090322,1.129813360739135,1.4711950152535151,1.6199903713344932,1.0360467213036493,1.2865588109747572,1.1287821535080829,1.2850698884547143,1.1472730540897065,0.61306490690480697,1.1027964413787721,1.0967230203933749,0.79546457695601458
Malate,0.99696477094094649,0.46078465697863724,1.2200990893904298,0.55942268750855195,0.91495058063440216,0.53098902150720562,0.95333561573254155,0.82955722719559166,0.67721258810053298,0.80743372880764119,0.79376490624791551,0.342529952123869,0.85399312519028436,1.0119772233258959,0.73274592398044491,0.59832644000762514,1.6645851324451431,1.2793910911378632,0.460000940218462,0.86564918060699092,1.0969033686285425,1.0455018076649807,0.86941959035779992,1.1157899562117666,1.0030352290590536,1.0290936032537223,2.0927510083620677,1.4164596006925112,2.0942906462337807,1.2257261187756323,0.83516327489259734,1.4139318313590912,1.4162221658458849,2.7250155623671284,1.1079022306153556,1.1716486778661699,1.6544713017439734,2.5200168761426673,0.92432922609158208,1.6568861512915132,0.85508121138103543,0.63737901502987704
Mannose,2.3435661558751346,0.32333356593524548,0.53707543646406741,0.66790859474801068,1.1703243394621954,0.23556608251879574,3.7746158884498158,3.5749894614823319,0.9399589275722019,3.9946556285101145,0.45152044402525132,0.20576000010304854,3.2221340456866252,2.8384821917583136,1.4757733643741331,0.45161583611514461,1.0600410724277982,1.2133998988284984,0.56432095258369774,1.9099764793995397,1.7944024043933828,0.79014342151973704,0.69334501948076399,1.7210065517652886,0.67839846148785532,1.5972929398641029,0.65351947005364841,0.67917313125386924,0.60168638767980442,1.7813360982457376,0.63287721639772532,1.8683821348652461,2.091909445047182,0.50861638385792274,0.67599865042542306,1.2014134440695416,0.63027767194566775,0.72734922600997121,0.17174321148342228,2.344065949429897,1.4830632331677063,1.5105079110453052
Mannose-6-phosphate,1.4277146031967167,0.422292793782993,0.4342744579872504,0.6593247112013344,0.45061309099305596,1.2046121713292071,0.31796902021415929,0.25097421758329547,1.9599308147697481,0.49996216997764981,2.4796098050466364,0.94341189167639572,1.6456911894153459,0.94594918527259142,2.1976294342726406,0.11868895599982039,2.0086977143016176,1.8706994529833358,0.45930800017564216,1.1322480453811412,0.61125709362896052,1.871014531026604,1.0,0.11868895599982039,1.7099761893961625,2.8540055899038328,1.2963391792159178,2.0981210300373503,0.3269392500996996,1.2115833214116842,0.35370897900097631,0.61792069297250474,0.56511166817491687,0.11868895599982039,1.3231601665736834,1.4210381892390502,0.59295782466245839,0.99092848084151497,0.11868895599982039,1.0782216322419442,1.5498635050095311,0.56796932712416748
Methionine,1.2103699486583837,0.39219094348497685,0.56960965448149081,0.58806216439967807,0.58971376033064615,0.55628528049692227,1.0063036354449137,0.53463028192716178,0.64758879445377027,0.44482229622535496,1.2892203724517903,0.73347736743304071,0.86866374965776427,1.0114669682317023,0.75697716439526574,0.7098985833312329,1.7117622773916059,1.0022986896367201,0.55557578289659537,1.2474773338602445,0.45447402318226976,1.2463057351214051,0.7685274626499019,0.80790409586060163,0.99770131036328014,1.1063468863248989,0.94936731921647888,1.4005808226056797,0.83236551515592005,0.727913106419248,1.1351066894979454,1.5166609204087826,1.6204246658265049,2.1124035701431692,1.1664816340785322,1.0706009934969332,1.2982427865586601,1.1930884408628357,1.0318009676602993,1.3889870257566348,1.494199676772763,0.81092162483082542
