"SampleName","N1",N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
"SampleType","Normal",Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis,Metastasis
"1,5-anhydroglucitol (1,5-AG)","1.3277217836827",0.698659644555251,0.652579706690083,0.952870163573359,1.03913879640152,0.972195921954357,1.85743055924568,1.21361828406443,1.13331716430019,1.63076777602105,1.22197677212743,0.72204428902806,1.42759540131617,0.991288392422729,0.801854450597086,1.32231165989561,0.976717034728347,1.54427920587569,0.50044642167601,1.21424602392066,0.880598714902687,1.56201166826616,1.45527706199056,1.42086053274595,0.79463169678833,1.14369728416896,1.58225742706759,1.39190165578272,1.13255605884658,0.430570467177805,0.650545238892918,0.989789577551665,0.538451148980837,0.427090881933907,0.396571173487915,0.387831592651587,0.879196961053681,1.00871160757727,1.87837864931188,0.352066556125543,0.352066556125543,0.352066556125543
"1-Methyladenosine (1mA)","0.264203530416712",0.264203530416712,0.264203530416712,0.264203530416712,0.381588092594897,0.264203530416712,0.372797574252482,0.417954799858943,0.264203530416712,0.360203339120036,0.264203530416712,0.264203530416712,0.264203530416712,0.557374554167415,0.264203530416712,0.264203530416712,0.531207927474226,0.264203530416712,0.264203530416712,0.264203530416712,0.264203530416712,0.264203530416712,0.264203530416712,0.651430161294278,1.46535585151984,0.366638036450606,0.287159049791433,0.840787166892199,1.20126773129447,1.17742644042891,1.38907269690536,2.52103662447062,0.264203530416712,2.08390652527201,1.95460259173531,1.19067960872606,3.49859542564037,1.58422768679661,4.19288139424488,1,1.54002593926682,0.74700923408002
"2-Aminoadipate","0.972763278324087",0.539401505679369,0.813271358800156,0.229048855983571,1.09036919145019,0.853075795548405,1.94906759085189,0.522077228316576,0.729632536521049,1.00902786799567,0.881296625325898,0.277922796891211,2.13749830358819,1.67143547637691,0.960002308151371,0.666131446088906,1.70689057647198,2.65788045700489,0.352877769848278,0.961767842635509,1.56753025941394,1.3896100498191,2.27367324592291,2.5647632602599,0.99097213200433,2.6863996606986,1.23559744697571,2.90233872629057,1.58387064959051,0.409899103647349,0.218937963974261,3.63123894951409,5.13209775594726,1.41705088990165,3.72902239253793,0.177197549039536,0.417716642575564,9.09673873883953,2.39085630814269,0.317472287080787,0.174339972073992,0.219962247333721
"2'-Deoxyuridine-5'-triphosphate (dUTP)","1.40373312774368",0.837392774697408,0.59222894160791,0.804263366653362,0.808392239698818,1.4281469066755,0.59222894160791,0.59222894160791,0.942756668695806,0.59222894160791,2.3648948301748,0.694575738921911,1.44476185755278,0.725072985580406,2.00420529397283,1.45292199963965,0.59222894160791,0.59222894160791,0.671564693671872,0.860304482814158,0.59222894160791,0.59222894160791,0.59222894160791,0.59222894160791,0.59222894160791,1.10180393191524,1.54552555070824,2.0248800775286,0.59222894160791,0.59222894160791,0.59222894160791,0.59222894160791,0.804380333774713,0.59222894160791,0.690945916795431,1.24336189270995,1,0.59222894160791,2.71114500673517,0.59222894160791,0.59222894160791,0.59222894160791
"2-Hydroxybutyrate (AHB)","0.945829767237911",0.719570715806394,0.482118519697021,0.887397015867839,0.835358111007253,0.380868580234324,0.557329964060311,0.578867292231313,0.446992888076357,0.380868580234324,1.11279553008287,0.765522230714235,0.765399268464842,1.57333948365168,1.21987909551454,1,0.697468111861816,1.14823282360083,0.685659724983216,1.02592525109978,0.380868580234324,0.380868580234324,0.49827418104034,0.516780091575418,0.658146407603619,1.52215983767279,0.994944224614529,0.784509987922722,1.03239725842057,0.598898769450229,5.09017613831376,2.26378725196926,2.62289089910443,5.36026822143383,2.56486114762135,4.05335256011279,4.28479592736737,7.35378506742098,10.6986573312287,7.16024382654478,6.25209399592536,1.20923005822533
"3,4-Dihydroxyphenylethyleneglycol (DOPEG)","0.753792944431635",0.753792944431635,0.913788332949043,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.949573437860272,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,1.05042656213973,0.753792944431635,0.753792944431635,0.753792944431635,1.05531473368688,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,15.9636268826378,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635,0.753792944431635
"3-Methyl-2-oxopentanoate","1.55443025906481",0.933098526465489,9.84496216685531,0.992520318421445,0.323430868244918,0.64069034123513,0.387436294931518,0.442865831114359,0.697848710390054,0.730537542511851,0.783661109208511,1.07247408528233,0.834515411610651,1.08614786350556,1.48829476942833,2.43239661787529,7.19649582991097,0.489992026580066,0.780246714431594,2.72486729301466,0.515780288374054,0.95679170581552,0.508449525898104,1.00747968157855,2.75329187482284,0.844263255548349,2.72611064121242,1.36549711052055,13.1008610738853,3.32629277506221,1.43173871491747,4.56495340438689,11.5918054160261,20.3404216906264,0.413990497839162,0.533408324139819,0.837252463159997,2.87930051256814,5.31760640579165,6.70916677515913,0.615528102334166,0.556369329707362
"3-Methylhistidine (1-Methylhistidine)","0.776594773964572",0.73335149910813,0.620427518661889,1.58306182178354,0.604205737640732,1.12296993934328,0.661481843844041,0.493234115458438,0.633705545711461,0.574675717513813,0.699476965592726,1.08076740553858,0.894702359387536,0.526830692921781,0.805002749225614,1.79183197287155,0.897256933496275,0.855100600016774,1.00929570880297,0.948667462967629,0.93723971717215,1.35194079309528,0.62271581161164,1.24210507571001,1.15630139901221,1.48362081775473,1.07673250890697,0.846133209825897,0.707247757280776,1.29485561264696,1.6639482148411,2.01387113745962,1.51100859859667,2.39790850630455,1.57445647404815,1.19478323139455,1.73642725347396,2.08652092727279,2.70930956786044,0.990704291197027,1.26871748208608,0.60660881415185
"3-Phosphoglycerate","1.41820019928025",2.29198272171789,0.660537327222849,0.431610547416752,0.207921138254236,1.24594240228786,0.277744195721222,0.476490555751757,3.77046380559822,0.243671769720489,2.30231601214151,1.30159260096244,0.970443237626442,0.298221274905586,1.76422346832534,2.67137326596594,4.99542207442977,2.84372754348679,0.444130592869502,0.908889216353338,0.467761047860014,1.81473305214511,0.196600400980589,0.396523255778588,2.37867145807755,2.19882063588631,8.17516851729604,0.963692017971534,0.933903734349755,0.324689676785253,0.981217668200551,0.700745214017655,2.03763561028583,1,1.30112190045843,0.434024796416072,1.49965229630017,0.838887264959413,2.38815929639639,1.16225260333324,1.85051364536491,0.196600400980589
