Biochemical,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Creatinine,2902647.411,779660.0515,1567398.559,4743608.057,2180740.255,1485863.592,1377866.972,1536142.82,2074422.707,1645993.952,2435935.951,1968702.158,2623967.255,1826610.11,3200800.358,3868164.197,1883942.849,1616437.63,1240439.415,1665290.682,1415062.108,1991390.027,1038790.551,1540869.339,1714190.823,2195159.727,1822612.636,1807694.75,1743556.634,2205190.836,2653882.59,2939682.591,2766198.221,3346477.125,2450226.588,1803655.887,2797951.837,3020274.75,2244275.419,1882890.395,2348903.859,1230094.351,5158950.261,4440169.828,5071493.43,4469844.831,5062701.143,4451329.567,4061185.559,4403532.276,4085005.445,4623131.721
Cystathionine,288833,112661,179539,,263785,88335,304955,268262,203692,249313,219057,74927,246175,266344,231622,101053,158387,203000,137557,229266,331563,173114,312930,294510,151989,224421,159814,390328,396577.2148,353088,,381467,931643,307490,2532507.261,812901,970026.0298,286871,1998530.38,339497,201230,641776.4415,,,,,,,,,,
Cysteine,223906,,,216922,147376,,71896,63067.3797,,,71674,,334478.9367,,,,1259032.16,1444069.766,105009,,1168395.961,1482409.873,,468518.8767,1975872.997,453354.3766,89145,366513.0964,1351188.085,117143,857509.389,3121996.645,621708.3047,1244278.075,104983,480971.199,442003.6825,1912413.78,,1120842.999,761593.5803,1057658.052,,,,,,,,,,
Cytidine,122385.9796,,325272,,159513.3217,,191658.6482,124120.1956,463710.0356,96181.3357,,151016,86783.524,69176.5482,160374.8069,,188045.9795,244869.4484,130814.9122,221113.5115,,291342.182,197220.1308,148219.0704,145627,151063.1382,512331.4401,716574.2718,313556.7884,1848446.637,,354470.0675,,778052.2531,67136.4771,198019,330576,587733.7335,74042.7138,265382,451575.0094,,,,,,,,,,,
Cytidine monophosphate (CMP),336637,215380,140604,,492439,87970,390846.0111,180384,209475,218296,,147213,,216769,309369,153687,355520,272134,,238372,123780.2001,319275,,262346,325487,194926,254056,,389900,365176,119069,284755,98089,352789,244076,329204,430295.5247,511473,301039,,374484,45216,,,,,,,,,,
Dehydroepiandrosterone sulfate (DHEA-S),212645.4501,51637.5392,49512.2542,51811.2864,45956.1711,230910.5879,135951.655,91777.117,23320.5552,73770.9376,120277.5876,,97977.2497,37556.4643,52848.7237,57225.736,106180.0091,45545.5159,245004.0954,74069.5875,382518.2181,,,82420.5221,191518.5941,57449.1388,32110.7041,126536.4551,,,,,65509.4454,,38573.0571,,45597.0967,25215.5471,,,,,3486055.028,3645479.561,3384724.971,3628944.841,3107378.27,4131186.475,3732385.35,3823184.774,3686339.57,4164576.136
Deoxyuridine,26765.0346,,20422.4724,,28620.0323,18197.5018,,,24598.0646,21048.4895,,,26928.558,23349.7824,37588.3058,26609.6379,24073.1207,27382.3803,17204.1393,22911.871,34257.0367,,30847.0524,23226.3377,18922.2203,30396.8087,52381.9298,91373.2943,48698.2806,24958.7804,101514.5786,25124.083,37440.9937,40307.9321,21511.5077,80931.7706,102272.8234,63043.0839,21947.9265,20380.1525,,,,,,,,,,,,
Dihydroxyacetonephosphate (DHAP),37465.5307,36590.4434,20148.5429,32308.4694,24704.8731,66628.8077,,36352.6411,,,53946.106,71783.287,,,46456.609,26833.8086,65529.2525,,27539.867,25177.5805,32946.1398,57461.3971,39291.4399,,47455.2749,,34906.3493,53776.2389,35785.2666,26504,,72864.6986,43141.484,21476.174,,29588.7917,,24563.8752,,23185,30997.712,32327.5225,,,,,,,,,,
Dimethylbenzimidazole,71958,,,,84992,56305,108895.8593,,88623,124519,142139,,137336,124279.547,133712,,,,66461,,199416,,274167,114117,,189181,270887,,,393523,,59130,,,57790,115049,,395756,199153,294028,319790,,,,,,,,,,,
Erythritol,126243,,83069.1633,139705,165180,,147371,122224,,169423.9972,83966,58394,85193,80196.1033,95070,131980,141837,70217,,,131910,86513,119639.5102,80872,75702,170674,83133,96881,324632.8961,270352.1278,250226.1737,409412.6938,1038721.697,511756.176,187832.442,295914.6471,778624.5077,543483.5505,586221.3542,299366.9197,258234.1218,178225.3763,107441,245780,231617.9973,264423,273160.2382,248719.0376,234421,238203.478,234820.3022,257276.1109
Ethylmalonate,,,,137460.4598,,,,14297.7156,,18357.5826,,,,,,,,35608.7787,,67224.7561,,,,20924.373,,,,44683.6663,233049.5521,219551.0882,,114427.6097,262358.6001,263972.7931,21826.507,76643.4088,298074.1168,305436.213,491729.7835,188503.8967,,90255.6963,,,29134.9108,,,,33608.745,,,
Fructose,1389885.171,,,432256,716865,,2391777.596,2108321,346533,2073989,259646,127896,1436044,1641590,711322,604714.4344,,343997,,864859.7409,492363,,278668,921736,,2114830,,,,,376917.465,450433.6089,1046928.213,249516,212675.2668,280666.3037,,,,,439837.5839,290284,792165.0383,2537439.827,3624955.771,3908537.413,2455620.786,2246993.443,2403960.93,2124778.065,1894993.473,1987392.304
Fructose-6-phosphate,405222,204493,157849,298351.6224,159505,229938.5582,,84117,396089.3607,,541688.6354,,505326,252139,536243,178880,558767.4935,500100,154052,327297,,546216,,167542,463238.1544,690553,400874,514234,231606,,168868,,271564,61361,556698,350186,,219913,316734,310537,524422,,,,,,,,,,,37866
Fumarate (trans-Butenedioate),411296.3583,184185.8699,323147.5176,375015.5167,260991.7262,191049.5419,469174.8846,148561.2362,406801.5444,181067.5142,283287.5021,259926.0187,236500.1245,193731.0432,219308.1917,205010.3797,761329.718,412044.5199,141610,272003.4396,251576.196,512521.3502,246613.1471,226567.7192,430279.4415,355456.0114,1351820.937,541223.819,509826.9022,707023.1672,363220.2295,1099385.711,1059846.8,1938591.244,736227.835,818599.869,748534.0241,519922.3226,425572,1358896.644,774468.7673,280215.7766,,46112,48805,80097,61749,55144,71019,79609,53607,64042
g-Glutamylcysteine,73342.6023,,463476.1669,,260225.0645,,394196.643,,,,164447.3871,,,,,,165796.0823,,,,,,274348.856,376830.9164,,230701.2581,132001.1659,727023.1453,194971.492,,,,,,,,,,,,,,,,,,,,,,,
g-Glutamylglutamine,356657.3181,502054.9851,299068.7931,485184.1009,116635.7523,343312.9562,184541.431,67954.4457,114501.939,97812.5525,410760.0239,186770.7865,419696.2042,119525.4583,346582.7235,110616.6766,180591.0019,156888.7232,239822.5004,189242.3715,61705.3909,121735.6169,34854.9925,233146.7088,194930.152,497041.2685,118015.126,131644.5003,167791.0263,129949.759,,76002.1827,54007,62055,78239.5371,,48997.4009,52100.2775,63253.9531,33769.3145,41099.0271,,,,,,,,,,,
Glucose,29279990.47,8448654.736,2326957.752,14971883.2,10820382.48,5055986.038,30830804.14,30276245.33,22034459.52,37475457.59,5109277.279,9974682.982,46929645.12,31609452.44,23727292.75,21342856.82,13227500.04,12044703.19,5297489.706,25024022.16,27128294.19,6690841.116,3924752.917,12637515.53,6285248.511,31419709.6,5411040.582,3005411.423,6238415.225,11978966.89,6815317.326,5140387.595,24252128.11,2867474.989,2629051.153,9710610.869,30021188.65,20662657.5,310891,25845515.48,32818461.41,39056598.27,223863456.4,343668354.6,354516550.5,361142481.6,388751509.4,383003553.7,396772459,379755179.9,371539884.3,381997181.8
Glutamate,62595847.34,30574959.6,51691227.97,33192707.19,70307315.7,33534421.57,90642342.69,39394198.34,62330720.1,64214731.83,82446320.76,25216768.13,86461840.74,66643882.85,77437165.63,48050153.58,102447805,100546494.8,31446019.45,85162192.11,115209688.5,78326954.32,97689441.37,125775034,67096542.06,81973756.92,167589218.9,128772357.3,101518757.5,97466543.58,45075636.06,176634125.5,129875369.2,137830505.1,151697353.3,62802549.74,119687690.2,304331979.5,183713416.4,79868338.31,70241787.8,71553792.02,2532857.062,3854550.955,7335316.496,7897548.499,5816338.744,5175836.597,3768573.155,3518263.712,3334649.022,2982596.124
Glutamine,17121652.68,4379343.954,5987588.556,9351315.157,15802747.27,10886512.16,18134073.92,5747703.319,2465827.859,12210383.63,19738963.88,6344703.369,22197008.37,16247501.66,12247666.73,4938477.82,13188628.61,17536615.69,4815426.976,16520771.3,8845385.201,15604404.22,15579058.04,14315234.91,12660197.91,17449298.85,27719874.52,19727623.04,10636928.45,10267830.27,1543765.212,14352723.87,29291016.64,8156400.091,20242132.25,3536275.451,21877834.5,87396636.75,13612999.62,16514580.91,13275765.96,6384250.729,345088.7564,391054.1643,350711.8328,452736.5283,717439.4856,1093031.903,492747.1685,207804.789,88903.4707,153766
Glutarate (Pentanedioate),,,,,42976,33208,59734,36483.9963,,,,,,,23702.3053,,,32296,21623,,,,,29329,50714,,24151,70104,75432,,22746,91073,67429,190633,28102,,25568.7831,33698,23346,49165,30834,,,,,,,,,,17429.5034,
Glutathione reduced (GSH),18485768.22,7947504.281,34745354.09,450951.0155,18675971.99,9903087.278,45730417.13,26096042.41,32458412.37,31601016.62,15763144.82,8163859.361,10833784.25,22997740.16,19780395.43,9375969.401,347588.7542,116114.4034,7585770.726,33287825.6,,85414.7822,42509221.84,13324116.29,,8540369.12,25685527.03,17573870.66,111210.4775,4801182.824,,89127.8854,,809297.424,6698619.126,4883080.456,2737014.105,127861.5793,13101265.74,1805005.77,1850548.49,43665.1123,,,,,,,,,,
Glycerate,264312.1949,126011.5798,141720,115047.586,194881.7229,87746,285070.5912,324452.3621,161567,250231.8609,109893,87542.7446,185118.7992,183940,191316.138,106697,355604.4457,252984.5852,,232211.7485,257239.758,207858.2995,124025,163275,164426.1899,201778.5072,326014.1905,162651,241720.5647,288057.6618,433477.6225,703782.8824,867122.8672,412630.4396,316813.7749,234606.2183,246857.8776,260433.5483,241474.0928,435871.9997,646070.0033,309864.876,228179.3469,602209.1733,702278.968,723035.9805,685748.7691,634841.1374,626888.1898,670308.5676,604589.8322,608977.1859
Glycerol,14248771.72,6306946.86,13975847,8800234,17814983.61,6302548.791,21009201.33,19515732.19,12928533.35,17431001.15,11514732.97,5634808.776,9725625.787,11013899.96,9692786,8194431.587,22948777.04,21466672.86,7352309.593,13354423,14261146.28,12003719.4,12620125.02,17704010.98,10982833.47,17207490.86,23857607.33,30083975.9,57139524.91,32959392.34,59295658.08,43422535.67,72806908.65,82622628.71,52234091.24,40987438.38,52455065.99,32996092.78,86749701.66,52649187.07,51160848.7,42371820.29,3752306.962,9443343.217,11866179.21,11994100.79,12129025.68,10767111.5,10625697.21,10154612.57,10358169.11,10439394.52
Glycerol-3-phosphate (G3P),1063044.528,395142.0674,1127132.806,566892.0847,995661.3824,506482.642,1071336.905,963973.2161,1144720.201,1627178.442,833734.3543,1374975.473,1948806.608,1460868.997,1316493.048,1167802.577,2042623.565,2076887.62,328218.3246,1222344.537,3294305.057,1598386.82,2215955.98,1372797.422,1695299.63,4112429.842,1695850.021,2464624.685,6157352.463,2543277.357,2629588.787,2631985.166,2500558.242,11728405.42,5012648.982,1522966.478,2657529.57,7502199.447,47493377.73,13179000.8,9047861.87,14763272.06,444169.2168,2143624.94,2646335.555,2510887.216,2021989.956,2030549.107,2246569.826,1964386.471,2133001.792,2277208.424
Glycerophosphorylcholine (GPC),5228894.57,900648.0813,4847316.284,1538060.029,5521759.469,1752937.001,6610642.265,5301119.425,1591372.903,7108855.6,1676094.839,1908122.564,9627593.629,6373807.704,3239855.522,1693532.489,8003094.925,1078574.817,1914698.385,5656176.205,6669502.605,4701131.747,9736573.408,5165093.792,4414814.516,11490164.03,3059454.151,7546532.824,23670032.77,7426936.325,4962734.606,9160187.242,5145762.378,28757355.06,12198860.26,3725935.385,4661093.909,24716351.8,29285543.28,29272390.84,19204778.85,36857602.55,6013799.071,4793779.481,5745479.139,6967408.064,5263700.941,5470799.253,5022076.646,4357172.352,5005825.434,5516351.844
Glycine,59275559.55,12647644.14,23671480.54,21029771.96,37724270.17,20384624.77,63776692.9,26207725.22,29902439.22,32405769.08,42892532.02,13315400.24,42026798.03,32426542.62,30127368.49,23131288.11,80877313.13,60885845.24,16991816.61,42938101.52,37521535.94,55947818.61,40498035.82,50138077.64,45256618.35,45410078.27,61228488.89,72555338.91,64975138.62,30777199.73,33143252.08,84440840.59,80021898.3,101221699.4,51982391.18,61657781.5,60556376.93,107207669.7,84999143.13,59108523.64,49015089.55,40968096.11,1075740.785,1656481.952,3396229.337,3499965.287,2821637.634,1897301.901,1771974.671,1881085.045,2211677.131,1746870.81
Glycocholate (GCA),,,,,,,,289797.6294,,,,,,,,,,92539,,,,,,550042.8077,,,,,,219774.1525,337115.8303,,118597.1267,248510.3831,,1804080.041,48590.9019,890942.6348,,1391353.186,275946.8542,42177.2157,185453.7584,209798.7448,145746.2754,196823.2534,56873.0062,193364.7643,214787.1081,172924.0044,225890.1574,180507.9745
Guanine,1265525.988,566879.6508,830034.538,772736.5312,1306295.204,759868.0443,1291722.243,850354.0339,627955.0105,1005415.844,1979938.475,707809.4953,1297982.856,1508941.899,1178847.323,646910.8894,1676133.114,1212195.643,444909.9545,1462896.812,39032,513498.2199,1441388.859,619252.5544,1239438.749,1071156.756,2307427.764,3422357.887,523278.452,293338.8118,,4832986.986,1459198.5,49368.2131,3357658.446,17158,1308288.185,2604679.971,181366.9142,8039,79364,,,,,,,,,,,
Guanosine,2926725.434,2262591.411,2767751.712,1582383.311,3203762.497,2404952.946,2772945.953,2234199.277,3723482.015,3052766.488,2501754.866,2257198.885,2705912.616,2626118.233,3574336.281,3144940.659,2596750.4,2754632.139,1806908.035,2903592.253,2752921.501,2307324.796,3162330.437,3272805.168,2387447.644,3011031.199,2835527.648,2261055.83,602911.5644,1023511.591,127470.048,2478799.317,888318.938,2023713.631,3080001.505,715151.8599,3352716.217,3211395.914,465969.8889,1003371.736,728658.8331,88080.7647,,,,,,,,,,
Heptadecanoate (Margarate; 17:0),38052,,,72702,62929,,57651,51538,60187,68974,59228,69105,59998,79871,49015,63504,113386,75151,27885,48123,65908,44186,67562,116080,146654,72316,196619.4864,66025,161791,76902,170784.765,144886.7849,142260,167303.4769,193368.805,131029.9012,102367,105483,115082.4744,260964.6729,213475.7975,186420.9528,81413,98336,112435,103873,150955,135707,143385.3613,130729,147136.6653,129870
Hexanoylcarnitine (C6 AC),211058.1528,240303.3204,305815.7572,459370.4317,522413.7466,410758.4987,450332.4244,355880.2079,158888.5259,747791.2408,900236.5276,109114.6253,174938.8209,318667.1599,275316.067,111671.3852,135126.5298,308218.0347,283967.7563,547331.7424,711150.0126,563870.6329,277208.1297,394018.7088,253842.5617,611539.4166,385062.7625,635582.179,69229.1694,97190.3999,63212.6411,52069.208,467718.6425,218367.9991,46752.2026,45054.0149,277132.5593,454957.1923,60081.1897,248021.593,416801.3013,,138068.9104,114556.4485,117651.0896,131433.6277,123207.4147,131269.7442,130758.2808,128438.3002,121824.767,131878.9863
Hippurate (Benzoylglycine),301148.1862,,458863.1771,2079169.485,534845.2239,225481.3512,995545.2004,353021.6209,,432344.5696,258976,243569.2628,217170,,209616.6126,950087.2269,313695.5168,,276406.308,860067.2039,797736.8686,357148.9975,358303.445,378573.4186,274473.8292,381001.5729,,1262111.157,,982723.3843,254430.0437,,,242744,,1401672.032,333391.525,175340.4154,239269.5195,187946.6166,323000.9471,,1536793.857,1235451.687,1339652.282,1246727.249,1366337.972,1217380.31,1323434.706,1149348.796,1066283.97,1257906.113
Histamine,360020.6298,207902.3324,103270.2147,420349.7611,494548.7028,80996.6712,693667.454,341693.2556,328227.7055,327205.0972,476173.8396,586095.8585,291452.6397,265049.9124,267985.2502,418788.235,358483.1861,208024.0664,163349.9028,487007.7392,146105.4304,247855.1719,334999.7279,254086.027,154232.8399,516751.7023,183941.1973,571230.179,267270.0918,124629.8005,132951.2445,145179.2664,347260.9837,435678.7207,328481.6968,473095.0592,372295.4158,402597.3679,172793.8125,236252.3221,182716.9204,171631.4953,518542.1755,409842.9811,402517.3847,418366.8552,507497.545,319114.0214,452514.2301,325423.5073,396001.6342,404486.7736
Histidine,4515249.205,850305.3336,1528165,2522940.537,4769393.146,1417827,4329832.653,2257027.155,1936054.238,3114404.007,4246407.034,1438616,3522923.823,3940569.91,2648528.244,2831603,5978422,4519846.335,1158986,4550873.741,3762591.531,3972750,3592943.239,3798557.212,3957256.663,4007090.769,4463077,6702682,3691895.785,3502420.254,4438683.081,7410153.472,8667401.419,7743830.176,5913125.843,5380885.017,7161211.761,9240776.721,6307697.439,7395566.291,7418079.339,3311730,284621.728,608652.2413,923063.6341,1097119.073,1137422.608,754481.8512,608147.639,557222.6795,487136.0563,554379.5582
Histidinol,179023.1051,396034.863,155486.577,194371.0649,82132.9979,372554.3792,76914.1465,165636.845,300405.0222,45387.4115,344839.2143,363073.1572,132983.4949,131319.8768,246970.6142,326563.607,239420.6085,133839.069,282062.5925,213376.7705,140139.8779,437501.448,96834.1354,152602.2839,251770.3285,113791.8192,279323.6278,157791.1947,91995.1523,170475.2363,403742.5507,222158.9871,210135.858,47588.1596,249029.0658,342358.2261,240926.0628,84858.3903,326883.0319,186624.4712,156020.5749,116497.9815,182249.0646,127496.9122,101820.3096,148502.5841,82423.4158,,132815.0757,80290.9493,75367.3655,102335.1913
Homocysteine,266619.5246,,,,150735.77,,190672.1655,327537.6923,140404.5278,,179469.4033,,315882.7691,233229.4968,,142508.7621,386077.7106,321595.0289,287197.9552,239315.5433,,605523.5814,285746.3168,367710.3039,259620.3857,304860.1066,436314.7241,364794.6544,242189.718,237786.8309,,468942.9763,571118.0603,670010.0583,479224.2693,480846.457,518279.5643,568171.2634,918037.1145,593512.3984,341206.5374,593583.9293,203992.573,146167.3622,201011.7589,201724.9282,189011.314,179929.8301,202983.0389,181291.4632,125244.3355,139311.5761
Homoserine lactone,1001054.023,990722.1509,1042455.891,1448041.931,1142992.991,1318435.332,956889.7409,1297850.269,1260734.348,1420371.747,1312017.692,1474486.518,1142476.234,1412349.534,797948.9087,1395653.395,1154195.953,957144.0052,,1064962.026,2244600.357,1617363.471,1269979.505,1305549.761,1605670.634,995631.6033,1028855.303,1644618.539,1035403.102,986240.6033,1412226.008,837906.5686,490249.5018,,1106372.959,1125183.429,817733.8195,660990.2933,977441.2442,1335365.602,1659610.741,1871953.471,,,576756.6134,597115.2236,486494.707,5197871.502,834189.4008,743198.8984,586363.9619,
Hydroxyphenylpyruvate,109800.137,41185,79106.2021,,92083.4172,,41308,53512.585,129024.2768,59637.5454,30206,45143,75085.7252,68960.7982,92567.2295,118273.6378,32644.0096,26648.3548,49060.1824,50237.8922,35081.5917,69455.5048,44125.9751,87297.1827,57701,60531.3679,90623.5401,52794.3608,,,,29146,,17835,,,19783,26833.0491,17407,33268,25211,,,,,,,,,,,
Hydroxyproline,1264046,627720,1373379,623324,,1293215.57,2067064.128,779002,2466533.147,2033125.624,1216625,,,809014,1634697,1282234,2524328.974,1694011,633769.7223,1862664,984142,,2668069.782,1127363,1750431,,4226079,3650565.059,2921828,2681750.46,2066895.214,1314796,6875387.174,3536286.255,2664512.21,2018459.731,7795052.108,6547541.331,7245593.975,2044518.218,1778915.319,,436057.8037,975197.4706,1599523.471,1713660.322,1312440.1,1151832.41,1149156.638,1089105.228,1090747.707,1083375.582
Hypotaurine,1921830.584,599651.0937,594551.6184,349054.6816,1721347.087,561645.0893,1884136.856,803779.8263,1194437.023,2321559.306,1379680.608,585384,1018408.479,1182715.01,1867813.431,719165.2448,1374895.605,1834304.614,215236,1201537.997,858194.313,498259.8869,3862192.021,899620.988,639264.4814,3065161.801,2301596.741,1725824.58,1576348.234,545569,158458,4863662.781,3115146.263,671170.661,5033285.798,2013250,495221.6986,3296741.566,497895,474458.7291,438552.6465,1391456.762,,,,,,,,,,
Hypoxanthine,27361928.82,11584051.38,17437292.81,16405971.71,25690985.32,15245092.56,32075550.53,21955002.05,12822464.45,21568631.89,34495393.57,12148306.16,23203810.32,28436763.86,21444425.89,15120271.26,33413298.11,28045294.03,13867604.95,26804780.57,25220067.37,28563692.5,31530555.27,27519254.14,22830127.61,26493743.01,40101968.21,44444075.57,28270182.49,31864992.67,20321228.65,40264103.48,37678790.96,56952557.87,35067862.73,32409208.86,30631870.85,46101320.62,31084958.43,39847762.74,34691248.09,18507966.86,2172208.114,,,1753408.672,1555497.979,,66872.8965,1723414.089,131142.0459,1655061.999
Imidazolelactate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134594.2121,,,386156.6839,,,,,,,,,,,,,
Indolelactate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61406.4264,,,,84478.5464,77146.1177,66172.8249,38859.2854,64885.2493,45974.2565,57801.3026,43343.1739,72824.4704,62143.0512
Indoxylsulfate,87989.5039,68905.2793,,509573.2978,29613.8083,44520.6515,28144.0392,53463.4208,66004.6383,,22326.8965,31740.9728,48595.4769,109256.4043,51326.7449,32785.3692,62979.2234,83682.6123,25977.8512,96465.9533,,46712.9204,,46675.1455,93055.5834,27422.3903,39766.7976,19033.7102,59440.6313,582879.6906,70993.3126,203924.5363,355760.5289,215992.8085,142259.3709,53780.5447,344838.5947,101493.2719,282776.5475,271118.6214,424087.2761,,1353033.936,1170672.17,1025303.706,935812.5137,1025328.41,1002607.375,941990.2888,1035952.49,885810.6699,1004843.292
Inosine,8697685.902,6554654.75,7626050.914,5738889.394,8324750.402,7113320.454,9866058.017,7438975.722,8810092.442,8007467.296,6278691.399,5864289.913,8060703.672,8278524.191,8797479.763,8300424.134,7611906.902,7158485.565,6260749.266,9084272.206,6855159.561,8026586.2,7606145.983,8823253.009,6307138.912,8360171.223,8071880.308,6845577.02,2524073.776,3111997.792,561403.1405,2693304.337,2398185.039,4573267.193,3220178.515,3650560.953,3051915.418,4381366.17,1794452.65,4099234.219,2364654.969,1623050.934,405258,362420,325811,330325,344181,325937,309975,326168,336111,325467
Inositol-1-phosphate (I1P),169347,139400.6331,170886.7515,111830.1442,130531.2948,88945,93952,139430,162021,132995.2625,238072.4346,126621.3285,196886,196066,141764,137716.6185,160070.3011,223332,69475,184654,162784.1397,165559.8118,208465.2098,132015.6424,180507.5865,191268,501851.7425,197916.5392,267221.9599,210324,460320.295,345553.592,860312.6214,582215.9293,338844.5376,280641.7641,257844.9576,222022.0551,444413.1942,336309.9585,455782.0028,326143.2562,117930,125533,186432,169248,235367,230103,192554,207794,181887,154152
"Isobar 1 includes mannose, fructose, glucose, galactose",479920.5356,85391.7922,305996.458,77282.3608,614200.8846,104758.3922,897700.7318,468138.2821,453357.178,674717.2361,210161.4,313179.3135,488457.1058,486521.2967,309897.5217,264111.8799,174916.2231,218804.8861,210548.2265,422745.7644,130583.1541,79666.1725,428489.909,486765.3406,201687,359600.3027,354037.097,215857.2988,183693.8004,,,103112.3399,180300.4046,182116.6028,240213.216,427976.7084,459718.202,360390.0626,198018.6755,250147.5858,227406.9627,447559.7926,2255696.967,1443093.109,1473070.308,1696082.592,1457745.622,1718163.41,1830612.639,1308209.61,1362857.538,1544551.644
"Isobar 17 includes arginine, N-alpha-acetyl-ornithine",2385496.861,1674102.331,2260074.545,1709843.274,1153198.467,1551361.653,1743001.558,1820197.084,1836431.039,1875980.121,4759123.494,2505864.563,2472757.973,1130063.177,2095133.794,1178630.204,4012848.099,1157648.934,2291076.306,2426516.722,1076868.659,1265777.893,2198288.083,2674705.371,2824904.954,3408619.312,2778098.506,4363932.135,1736391.65,1175355.986,884568.0059,6203323.18,3707202.374,1325404.25,3011682.353,1693762.645,1090623.739,727317.4789,955077.2424,1955247.14,3267239.707,1117778.837,3006835.642,2306492.882,2276268.909,2271011.871,1886335.57,2467588.366,2262392.979,1909318.638,2200025.524,2439478.505
"Isobar 18 includes D-fructose 1-phosphate, beta-D-fructose 6-phosphate",151527,,114864,112862,,94099.445,,,154512.7107,,183474,231665,230849,,163611,156569,187049,,104248,,272921,156896.3692,,,407946,378670,218169,292267,171529,73451.2061,92265.8149,172615,275599,,247076,266911,491090.5513,,,194625,73307.0293,95056.52,,,,,,,,,,
"Isobar 19 includes D-saccharic acid,1,5-anhydro-D-glucitol",118268.2762,206430.1311,88025.8365,45706.9872,95608.1031,183864.1835,262935.8706,114966.5095,134956.4617,195393.3454,115713.1355,69397.969,114796.5122,58865.9181,86818.2621,112448.3255,125460.2792,167717.9979,64390.2183,138477.8368,141884.9001,103294.8181,100080.5347,187188.4083,150626.6803,69445.845,91215.4423,131741.8876,64417.1495,94319.2321,30788.5137,,62280.6807,42738.8452,63703.6456,,200715.3113,53250.1901,127632.8852,,34713.4411,,298750.4964,497034.4678,345766.9004,466589.0653,368796.8772,363261.1055,347707.793,554473.6329,451141.2561,308912.1785
"Isobar 2 includes 2-aminoisobutyric acid,3-amino-isobutyrate",5837474.131,3012060.953,5106181.037,3595482.696,3736732.024,2840769.238,4621293.774,2927329.318,3233256.636,3398444.785,4702037.614,3161753.346,10839405.47,7255002.26,3606152.872,2259378.049,9081691.838,6289131.269,2214436.336,4352194.871,8711049.509,6096513.624,6136560.03,4844338.062,7436212.738,6988223.354,6608783.174,9555631.266,6829535.595,22426265.14,8702774.719,31035084.4,17489200.1,26492368.27,8735766.004,6871402.106,11807129.2,11646421.87,21516368.25,15245313.42,10206196.79,12027549.17,1184851.183,1142967.919,66216.2455,500765.8859,646500.0977,1049267.88,100651.9701,127022.4083,459407.5681,384637.8871
"Isobar 21 includes gamma-aminobutyryl-L-histidine, L-anserine",44672.7244,,,74362.64,,,,62458.0855,,,51404.8618,101957.8904,142042.5512,80624.4014,46165.7583,,75771.3626,91069.7878,,134906.057,188859.3269,182077.9679,,,82674.6642,,66815.8388,58205.9526,79452.027,,163736.3589,258804.8932,,,,,,,,80950.9694,,174838.1314,316831.8042,226670.9232,158660.2103,202053.5738,198083.2279,304273.9352,221204.6254,204133.0351,93007.7019,172679.3724
"Isobar 22 includes glutamic acid, O-acetyl-L-serine",17791144.79,11182773.06,21924799.98,7719368.513,17071588.82,11243500.32,25866687.14,14385204.8,16450138.63,16576028.38,18464686.78,9684086.947,22180921.94,19502257.4,17780517.34,11375292.79,26273817.74,16247614.4,12371132.73,22616368.85,23350187.04,17771337.98,25783542.01,28923503.44,20298775.69,14939558.94,35255195.24,24875590.23,25331623.08,26281414.87,10001082.17,38024374.57,18659832.97,25982082.26,28951419.93,18232363.91,19502346.11,40078117.47,31841636.24,18552724.34,16213931.1,25565914,2580263,2173329.677,2274620.104,2044052.323,2021997.714,2058824.88,2070644.162,1803426.345,1914817.8,2192787.268
"Isobar 24 includes L-arabitol, adonitol",169934,,172402,,211832,90689,248754,199867.1709,102686,182354,94023.6325,,125769,144275.5551,95327,73113.8416,319684,190492.7391,,162582,132706.8435,131419,135184,176306,124483.4209,183740,219214.1355,214256,551415.738,349566,572633.4042,378133.8976,525147.2594,701449,542790,372141,484032.7081,194779,883906.8032,642881.0789,474590.3169,520760.3613,,,,,,,,,,
"Isobar 28 includes L-threonine, L-allothreonine, L-homoserine",3121285.129,887346.2944,1096514.021,745968.2066,2090709.022,1943529.199,2933930.422,1410502,1062528.917,1607638.683,1198876.168,509284.0471,2888224.651,3509016.126,1600039.553,942496.0589,1182907.576,1899998.325,1506817.198,2374471.607,1104082.284,2089437.639,2851947.578,3369668.447,2561106.871,991944.8835,4314995.671,4142381.52,2498939.244,2726932.186,1707578.601,5075659.799,2981168.796,3388080.176,3381346.167,3020311.374,3596341.087,3481817.452,3197852.611,2754251.418,2870612.405,3252184.684,520735.418,504699.5566,626799.5751,350680.3911,476540.0363,552231.8599,571155.9107,384969.8523,484803.1336,532712.7818
"Isobar 29 includes R,S-hydroorotic acid, 5,6-dihydroorotic acid",,,,58084.5482,24606.2118,,,,,,,35778.8275,,,25983.5032,39936.837,,,,,,,,,,18424.4928,,,,,,,,,,,,,,,,,,,,,,,,,,
