Biochemical,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
4-Methyl-2-oxopentanoate,41124,35421,196027.7385,43362.4842,,,37391,24638,,35034,64862.7747,35979.26,22038,,60116.0911,32560.9742,246378.386,65627,,35005,89711.6611,,,31958.9601,190212.8637,36375.9007,264230.1164,190957.0148,299120.9449,139239.4097,38013.2541,82021.496,188666.0255,293946.2636,54163.1466,13089,113972.6094,173921.9549,113154.7578,127571.519,53798.4912,,323359.2193,327796.5274,21545.5516,329949.8822,240390.2005,384789.8658,298219.5211,438006.6894,561863.3883,494756.6306
"5,6-Dihydrothymine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316099.2615,,,,352926.0739,498172.1723,255995.6894,,,,,,,,,,,,,,
"5,6-Dihydrouracil",167076,110926,314280.9777,145523,299237,49527,196650,317857.0688,,304678.5826,490878.6446,123433,,105122,207295,74334,264409,137898,176533.0779,122555,206441.9003,52522,415408,757291.7968,183065.5577,343566.3575,193536,691017,902105.6727,194737,,568046,528729.5587,414833,496493,279402,349185,444907,358443,139825,258746,142090,,,,,,,,,,48387
5-Hydroxyindoleacetate (5-HIA),186001,45311,124860,139743,202337,138397,117327,61350,,65849,112658,73220,67745,57629,40494,,1546220.062,71673,,22099,,125811,81891,177240,907605.6667,,48896,108865,47868,27514.6948,25339,41778,57588,42289,,,38708,27298,33626,,,,,,,,,,,,,30877
5-Hydroxytryptophan,,153338.6355,,,,,,,,,,,,,,,,,,,,51799.9061,,,,,,,,,64179.1088,,,,,,,,,,,,166027.4185,117110.3537,119779.4079,98479.7867,133252.0356,119860.9242,114047.9075,136383.074,91498.0318,133903.2657
5-Methylthioadenosine (MTA),105221.8027,,104552.2851,,144117.9043,,82760.9188,73612.7929,,151731.2915,,,109045.0087,123945.7898,72879.374,,,,,,279588.7383,,157811.5177,109617.8041,,60593.9965,180297.4382,143053.5739,,559882.1639,,160882.8642,160809.4615,161266.1738,116314.3155,370781.9758,376091.6842,593118.8288,169696.1363,372893.3654,272340.7414,85161.2362,,,,,,,86866.1051,,,
5-Sulfosalicylate,22793.0461,,,47382.0502,,,,,,,,,,,,,,,,17891.2607,,,,,,,,,,141327.2778,,,,,,,,,38178.4057,,,,208501.753,225971.1272,237517.8355,218783.3839,234620.9222,218852.1273,223320.547,238683.6739,132976.7668,231516.2769
6-Phosphogluconate,167494.7597,120023.0928,75195.2149,80681.5854,132915.0989,93107.7785,121867.9019,135132.284,134482.3384,127409.0717,121329.8679,137534.7818,235478.4469,136657.2844,133294.156,77565.6803,79604.0659,142332.1741,102428.6794,116341.3097,88280.3952,110691.5886,198088.2601,150206.4066,92402.7232,146563.3974,100328.069,74788.367,175652.8149,122793.7576,84747.2056,143978.5378,209880.2169,170203.0024,97745.618,76903.2477,84376.3155,151572.1463,278494.8848,140357.3421,118474.4351,46779.8549,126068.3023,114206.2086,86130.908,100968.5618,119684.6881,128251.4137,104655.8435,94766.3369,91026.0731,101945.7489
Acetylcarnitine (ALC; C2 AC),7192079.904,5548576.86,8541170.787,4655286.933,9568316.009,9360330.429,12940452.67,6690143.252,6517446.207,13191737.02,15880027.7,5275231.633,9436709.777,9967724.288,9309425.007,8422145.594,6864448.508,6301858.391,5222599.111,7889017.518,5602333.813,7945284.08,10579060.75,8663965.167,6573958.275,13201435.76,11098862.13,12244922.86,4627359.525,5677043.263,7617932.097,12531629.71,6321127.627,22149869.36,5142306.871,9747568.3,15942527.35,12334841.55,20072038.74,16668520.18,16017669.93,1580733.325,6600232.158,5661439.065,4967949.03,5193170.149,5127894.717,5100195.555,4636787.06,4946161.698,4465278.339,5088343.355
Aconitate,295171.8855,,,,43033.3264,,585778.8102,,,101691,,,71513.8385,181263.3836,,,,,,,,,,205918.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenine,150704.7436,,270533.279,57467,309441.3336,45962,435203.9442,291462.9924,103362.9858,366075.9482,86157.1005,36487,184595,228327.0898,128608.0583,111449.9021,110425.9421,270760.9254,97623,304947.4487,368583.1673,189666.855,463057.3419,565025.5652,115101.6668,239541,364326.9475,309186.1001,53162,634288.4809,,173210.4924,143692,261453.5314,79094,317711.1293,1169420.747,546313.9974,102295,294008.0939,212565.0049,65294,,,,,,,,,,
Adenosine,776556.9714,515273.771,1082562.058,213881.1609,772552.4859,839977.4459,423844.2434,312217.7703,456934.7049,834558.5197,837941.9258,449200.6909,1303113.589,1233557.081,925536.5288,919781.8409,458333.4863,293445.334,373537.576,1088736.642,284045.1941,530200.8414,1013066.695,565290.4699,302506.1039,212049.9502,1596882.592,426041.5477,168142.1134,298583.0209,87496.3666,258556.0584,189293.5735,204901.1124,139205.7827,523816.5337,456698.1054,281270.4367,188982.6971,592946.7586,469366.2147,98791.7422,,,,,,,,,,
a-Ketoglutarate,110042.7441,269887.9408,6766650.269,262103.3985,116916.7054,138314.4472,111972.6113,74162.6701,146326.1281,70909.1374,135472.6657,129240.8141,100660.9791,104870.4422,158390.5977,585842.749,2174085.193,119268.7054,136376.8446,121451.7695,217310.4086,137388.0072,81854.2721,225812.0062,2173416.084,107992.3034,754988.3893,298558.9082,3913519.576,2458611.022,115334.9465,674369.0571,747688.5531,1145179.734,73974.9792,,166482.1764,1376795.552,758460.824,323896.7045,87039.9574,204230.7209,457983.1411,402688.3237,422736.354,485108.7352,475633.0626,343411.4422,361008.3323,256593.6653,371682.0833,301836.6658
Alanine,89991618,22887793.88,40994086.15,30904724.39,63514481.92,26516230.81,80422172.28,50690290.63,32443821.22,51447242,84749802.82,32121915.21,75698937.7,72517800.64,54738346.24,35291882.67,81336901.72,69815082.81,27833873.96,55742706.42,42143910.11,55999697.61,59304683.43,60708232.95,49817257.34,56813615,84410458.94,90312438.88,85564403,55260414.97,53846121.74,78780991.51,83970087.68,179953715.5,118484647,151475028.3,149724778.8,155228715.8,53908016.57,87679358.76,66250191.73,66620728.76,6885338.651,10265341.38,19056228.18,19459028.23,17395713,14138938,11159600.11,12354498,13809079.49,11414070.15
Alanylalanine,89433.4681,124511.9616,,128781.3492,51838.5622,,,86078.3345,,61885.8218,64306.6733,,,,,,,38200.4763,82836.6918,,172417.2333,84773.1567,,77044.4454,,37611.2897,,108921.9587,55506.7098,,223527.2852,68636.1857,,398773.2392,68580.7966,49325.1824,,,87259.0154,55931.2821,55834.5351,,145860.6624,260391.9719,213039.0951,219765.4061,38546.1492,206077.9494,201345.8554,69162.8345,57468.0246,82104.66
Arachidonate (20:4n6),640092.8694,,649677.4156,492101.23,672543.9794,388942.2296,618372.1031,420022.3099,363933.5262,586606.6727,544433.4886,399759.1316,448400.2632,606851.7098,291968,397193.2023,548775.1045,483538.1684,185789.5993,500105.6964,1993055.071,750681.5184,723670.828,532551.1379,621855.0481,563645.6611,556513.047,704139.4125,1938293.581,981257.4245,788197.8858,2041472.483,944706.3098,1011916.832,828939.6821,1146048.739,1507138.537,617266.4445,2207457.096,769490.1344,919566.0749,1854850.239,246469.1955,521389.7738,444790.5449,362851.5822,482886.8845,375106.7942,464283.5254,361077.2001,413370.0199,417102.4799
Argininosuccinate,188093.7804,47201.0472,129417.2409,,,83654.5433,51204.7731,165299.2428,35368.7032,193156.8903,98539.4899,51311.7901,197003.7756,190090.1182,154425.5469,,482597.7945,,237453.5237,277190.3801,,256564.7045,269419.811,106086.481,282593.0041,81653.2069,176435.8715,213276.0087,300821.6789,,,249702.097,235227.7149,64415.5497,42808.001,80252.2278,,,,94983.3258,216414.936,61975.573,,,,,,,,,,
Ascorbate (Vitamin C),2168307.238,932490.5933,4461080.887,1424473.239,2805411.341,516793.7409,3011186.063,7850375.506,4415372.976,2845520.02,6761761.267,1248248.618,1701808.342,1581035.325,4160424.079,1190112.619,2822103.066,289789.1501,1320240.718,4001573.14,177872.9085,499794.7572,4153318.136,5513552.59,826126.9479,2246385.985,10680654.35,6655896.114,2612206.059,834165.7743,,820798.1407,744440.7323,2756750.05,3052253.957,8278798.606,3361166.823,2566770.005,629276.5632,22431349.9,10464892.34,7336501.981,,,,,,,,,,
Asparagine,1465665.366,264016,450691,489587.5492,801128.4363,410777,1740106.099,556616,419569,783890.0004,1527948.267,311773.8354,1264754.52,1243207.051,772827.1554,405257.8348,1619950.811,1644922.14,407314.5264,1313813.885,900098.1229,1277861.396,1135122.325,1343132.913,1030448.746,1508586.936,2160666.611,2356112.513,613919.2218,1140286.333,535998,2331674.505,2800727.53,938663.6665,2601304.171,742849.5666,794872.3271,2147465.14,1520587.933,1450678.616,1228531.268,1214328.394,,,,,,,,,,
