,Entrez,GeneName
291,1632,ECI1
292,1633,DCK
293,1635,DCTD
294,1636,ACE
295,1638,DCT
296,1644,DDC
297,1645,AKR1C1
298,1650,DDOST
299,166012,CHST13
300,1666,DECR1
301,166785,MMAA
302,169355,IDO2
303,170712,COX7B2
304,171425,CLYBL
305,1716,DGUOK
306,1717,DHCR7
307,1718,DHCR24
308,1719,DHFR
309,1723,DHODH
310,1727,CYB5R3
311,1737,DLAT
312,1738,DLD
313,1743,DLST
314,175,AGA
315,1757,SARDH
316,178,AGL
317,1786,DNMT1
318,1787,TRDMT1
319,1788,DNMT3A
320,1789,DNMT3B
321,1798,DPAGT1
322,18,ABAT
323,1800,DPEP1
324,1806,DPYD
325,1807,DPYS
326,1808,DPYSL2
327,1809,DPYSL3
328,1811,SLC26A3
329,1836,SLC26A2
330,1841,DTYMK
331,1854,DUT
332,189,AGXT
333,1890,TYMP
334,1891,ECH1
335,1892,ECHS1
336,19,ABCA1
337,191,AHCY
338,192134,B3GNT6
339,195814,SDR16C5
340,1962,EHHADH
341,196743,PAOX
342,196883,ADCY4
343,197257,LDHD
344,197258,FUK
345,199974,CYP4Z1
346,200010,SLC5A9
347,200576,PIKFYVE
348,201288,NOS2P2
349,2023,ENO1
350,2026,ENO2
351,2027,ENO3
352,203,AK1
353,2030,SLC29A1
354,204,AK2
355,205,AK4
356,2052,EPHX1
357,2053,EPHX2
358,206358,SLC36A1
359,2098,ESD
360,210,ALAD
361,2108,ETFA
362,2109,NA
363,211,ALAS1
364,2110,ETFDH
365,212,ALAS2
366,213,ALB
367,2131,EXT1
368,2132,EXT2
369,2134,EXTL1
370,2135,EXTL2
371,2137,EXTL3
372,2147,F2
373,215,ABCD1
374,216,ALDH1A1
375,2168,FABP1
376,217,ALDH2
377,218,ALDH3A1
378,2180,ACSL1
379,2181,ACSL3
380,2182,ACSL4
381,2184,FAH
382,219,ALDH1B1
383,2194,FASN
384,220,ALDH1A3
385,2203,FBP1
386,221,ALDH3B1
387,221823,PRPS1L1
388,222,ALDH3B2
389,2222,FDFT1
390,2224,FDPS
391,222537,HS3ST5
392,223,ALDH9A1
393,2235,FECH
394,224,ALDH3A2
395,2243,FGA
396,225,ABCD2
397,226,ALDOA
398,2271,FH
399,22856,CHSY1
400,229,ALDOB
401,22928,SEPHS2
402,22929,SEPHS1
403,22934,RPIA
404,22978,NT5C2
405,230,ALDOC
406,23007,PLCH1
407,23057,NMNAT2
408,231,AKR1B1
409,23169,SLC35D1
410,23205,ACSBG1
411,23236,PLCB1
412,2326,FMO1
413,2327,FMO2
414,2328,FMO3
415,2329,FMO4
416,2330,FMO5
417,23305,ACSL6
418,23315,SLC9A8
419,23382,AHCYL2
420,23396,PIP5K1C
421,23417,MLYCD
422,23428,SLC7A8
423,23430,TPSD1
424,23439,ATP1B4
425,23443,SLC35A3
426,23464,GCAT
427,23475,QPRT
428,23478,SEC11A
429,2348,FOLR1
430,23483,TGDS
431,23498,HAAO
432,2350,FOLR2
433,2352,FOLR3
434,23530,NNT
435,23533,PIK3R5
436,23539,SLC16A8
437,23545,ATP6V0A2
438,23556,PIGN
439,2356,FPGS
440,23563,CHST5
441,23600,AMACR
442,23632,CA14
443,23657,SLC7A11
444,23743,BHMT2
445,23761,PISD
446,239,ALOX12
447,240,ALOX5
448,242,ALOX12B
449,245972,ATP6V0D2
450,245973,ATP6V1C2
451,246,ALOX15
452,246213,SLC17A8
453,247,ALOX15B
454,248,ALPI
455,249,ALPL
456,2495,FTH1
457,250,ALPP
458,251,ALPPL2
459,2512,FTL
460,2517,FUCA1
461,2519,FUCA2
462,2523,FUT1
463,2525,FUT3
464,2530,FUT8
465,2531,KDSR
466,253430,IPMK
467,2538,G6PC
468,2539,G6PD
469,2542,SLC37A4
470,2548,GAA
471,256435,ST6GALNAC3
472,257068,PLCXD2
473,2571,GAD1
474,2572,GAD2
475,257202,GPX6
476,25769,SLC24A2
477,25796,PGLS
478,2581,GALC
479,2582,GALE
480,25828,TXN2
481,2583,B4GALNT1
482,25830,SULT4A1
483,2584,GALK1
484,2585,GALK2
485,2588,GALNS
486,2589,GALNT1
487,2590,GALNT2
488,25902,MTHFD1L
489,2591,GALNT3
490,2592,GALT
491,259230,SGMS1
492,2593,GAMT
493,2595,GANC
494,2597,GAPDH
495,26,AOC1
496,26002,MOXD1
497,260293,CYP4X1
498,26035,GLCE
499,26061,HACL1
500,26062,HYALP1
501,26063,DECR2
502,2618,GART
503,262,AMD1
504,26227,PHGDH
505,26229,B3GAT3
506,26266,SLC13A4
507,26275,HIBCH
508,26279,PLA2G2D
509,2628,GATM
510,26289,AK5
511,2629,GBA
512,26290,GALNT8
513,26301,GBGT1
514,2632,GBE1
515,26330,GAPDHS
516,2638,GC
517,2639,GCDH
518,2643,GCH1
519,2645,GCK
520,2650,GCNT1
521,26503,SLC17A5
522,2651,GCNT2
523,2653,GCSH
524,266722,HS6ST3
525,267020,ATP5L2
526,2673,GFPT1
527,2678,GGT1
528,2679,GGT3P
529,2683,B4GALT1
530,2686,GGT7
531,2687,GGT5
532,26873,OPLAH
533,2694,GIF
534,270,AMPD1
535,27010,TPK1
536,27034,ACAD8
537,27068,PPA2
538,27087,B3GAT1
539,27089,UQCRQ
540,271,AMPD2
541,2710,GK
542,27109,ATP5S
543,27115,PDE7B
544,2712,GK2
545,27124,INPP5J
546,2713,GK3P
547,27159,CHIA
548,27165,GLS2
549,2717,GLA
550,272,AMPD3
551,2720,GLB1
552,27232,GNMT
553,27235,COQ2
554,2729,GCLC
555,2730,GCLM
556,27306,HPGDS
557,2731,GLDC
558,27349,MCAT
559,2739,GLO1
560,27430,MAT2B
561,2744,GLS
562,2745,GLRX
563,2746,GLUD1
564,2747,GLUD2
565,275,AMT
566,2752,GLUL
567,276,AMY1A
568,2762,GMDS
569,2766,GMPR
570,277,AMY1B
571,278,AMY1C
572,279,AMY2A
573,2799,GNS
574,28,ABO
575,280,AMY2B
576,2805,GOT1
577,2806,GOT2
578,2819,GPD1
579,2820,GPD2
580,2821,GPI
581,28231,SLCO4A1
582,28232,SLCO3A1
583,28234,SLCO1B3
584,283871,PGP
585,284098,PIGW
586,284111,SLC13A5
587,284129,SLC26A11
588,284273,ZADH2
589,286016,TPI1P2
590,286297,NA
591,2875,GPT
592,2876,GPX1
593,2877,GPX2
594,2878,GPX3
595,2879,GPX4
596,2880,GPX5
597,2882,GPX7
598,28965,SLC27A6
599,28972,SPCS1
600,28976,ACAD9
601,28982,FLVCR1
602,290,ANPEP
603,291,SLC25A4
604,29124,LGALS13
605,292,SLC25A5
606,293,SLC25A6
607,2936,GSR
608,2937,GSS
609,2944,GSTM1
610,2954,GSTZ1
611,2974,GUCY1B2
612,2977,GUCY1A2
613,2978,GUCA1A
614,29785,CYP2S1
615,29796,UQCR10
616,2982,GUCY1A3
617,2983,GUCY1B3
618,2984,GUCY2C
619,2986,GUCY2F
620,2987,GUK1
621,29880,ALG5
622,29881,NPC1L1
623,2990,GUSB
624,29906,ST8SIA5
625,2992,GYG1
626,29920,PYCR2
627,29922,NME7
628,29925,GMPPB
629,29926,GMPPA
630,29929,ALG6
631,29953,TRHDE
632,29958,DMGDH
633,29968,PSAT1
634,2997,GYS1
635,2998,GYS2
636,29988,SLC2A8
637,30,ACAA1
638,3000,GUCY2D
639,30061,SLC40A1
640,3028,HSD17B10
641,3029,HAGH
642,3030,HADHA
643,3032,HADHB
644,3033,HADH
645,3034,HAL
646,3036,HAS1
647,3037,HAS2
648,3038,HAS3
649,3067,HDC
650,3073,HEXA
651,3074,HEXB
652,3081,HGD
653,30814,PLA2G2E
654,30815,ST6GALNAC6
655,30833,NT5C
656,3098,HK1
657,3099,HK2
658,31,ACACA
659,3101,HK3
660,314,AOC2
661,3141,HLCS
662,3145,HMBS
663,3155,HMGCL
664,3156,HMGCR
665,3157,HMGCS1
666,3158,HMGCS2
667,316,AOX1
668,3162,HMOX1
669,3163,HMOX2
670,3176,HNMT
671,3177,SLC29A2
672,318,NUDT2
673,32,ACACB
674,3242,HPD
675,3251,HPRT1
676,3283,HSD3B1
677,3284,HSD3B2
678,3290,HSD11B1
679,3291,HSD11B2
680,3292,HSD17B1
681,3293,HSD17B3
682,3294,HSD17B2
683,3295,HSD17B4
684,33,ACADL
685,3340,NDST1
686,335,APOA1
687,337876,CHSY3
688,338,APOB
689,339221,ENPP7
690,34,ACADM
691,340024,SLC6A19
692,341,APOC1
693,3417,IDH1
694,3418,IDH2
695,3419,IDH3A
696,341947,COX8C
697,3420,IDH3B
698,3421,IDH3G
699,3422,IDI1
700,3423,IDS
701,3425,IDUA
702,343,AQP8
703,344,APOC2
704,345,APOC3
705,347734,SLC35B2
706,348,APOE
707,349565,NMNAT3
708,35,ACADS
709,353,APRT
710,358,AQP1
711,359,AQP2
712,36,ACADSB
713,361,AQP4
714,3612,IMPA1
715,3613,IMPA2
716,3614,IMPDH1
717,3615,IMPDH2
718,362,AQP5
719,3620,IDO1
720,3628,INPP1
721,3631,INPP4A
722,3632,INPP5A
723,3633,INPP5B
724,3635,INPP5D
725,3636,INPPL1
726,3658,IREB2
727,366,AQP9
728,37,ACADVL
729,3704,ITPA
730,3706,ITPKA
731,3707,ITPKB
732,3712,IVD
733,373156,GSTK1
734,374291,NDUFS7
735,374569,ASPG
736,374907,B3GNT8
737,375056,MIA3
738,3764,KCNJ8
739,376497,SLC27A1
740,3767,KCNJ11
741,377677,CA13
742,377841,ENTPD8
743,3795,KHK
744,38,ACAT1
745,383,ARG1
746,384,ARG2
747,386757,SLC6A10P
748,387775,SLC22A10
749,387893,SETD8
750,389015,SLC9A4
751,39,ACAT2
752,3906,LALBA
753,3931,LCAT
754,3938,LCT
755,3939,LDHA
756,3945,LDHB
757,3948,LDHC
758,3988,LIPA
759,3990,LIPC
760,3992,FADS1
761,4017,LOXL2
762,4023,LPL
763,4025,NA
764,4035,LRP1
765,4036,LRP2
766,4047,LSS
767,4048,LTA4H
768,4051,CYP4F3
769,4056,LTC4S
770,410,ARSA
771,411,ARSB
772,412,STS
773,4121,MAN1A1
774,4122,MAN2A2
775,4123,MAN2C1
776,4124,MAN2A1
777,4125,MAN2B1
778,4126,MANBA
779,4128,MAOA
780,4129,MAOB
781,4143,MAT1A
782,4144,MAT2A
783,4166,CHST6
784,4190,MDH1
785,4191,MDH2
786,4199,ME1
787,4200,ME2
788,4245,MGAT1
789,4247,MGAT2
790,4248,MGAT3
791,4249,MGAT5
792,4257,MGST1
793,4258,MGST2
794,4259,MGST3
795,427,ASAH1
796,4284,MIP
797,43,ACHE
798,4329,ALDH6A1
799,435,ASL
800,4351,MPI
801,4353,MPO
802,4357,MPST
803,4363,ABCC1
804,438,ASMT
805,440,ASNS
806,441024,MTHFD2L
807,443,ASPA
808,445,ASS1
809,4507,MTAP
810,4512,MT-CO1
811,4513,MT-CO2
812,4514,MT-CO3
813,4519,MT-CYB
814,4522,MTHFD1
815,4524,MTHFR
816,4535,MT-ND1
817,4536,MT-ND2
818,4537,MT-ND3
819,4538,MT-ND4
820,4539,MT-ND4L
821,4540,MT-ND5
822,4541,MT-ND6
823,4548,MTR
824,4594,MUT
825,4597,MVD
826,4598,MVK
827,4668,NAGA
828,4669,NAGLU
829,4694,NDUFA1
830,4695,NDUFA2
831,4696,NDUFA3
832,4697,NDUFA4
833,4698,NDUFA5
834,47,ACLY
835,4700,NDUFA6
836,4701,NDUFA7
837,4702,NDUFA8
838,4704,NDUFA9
839,4705,NDUFA10
840,4706,NDUFAB1
841,4707,NDUFB1
842,4708,NDUFB2
843,4709,NDUFB3
844,471,ATIC
845,4710,NDUFB4
846,4711,NDUFB5
847,4712,NDUFB6
848,4713,NDUFB7
849,4714,NDUFB8
850,4715,NDUFB9
851,4716,NDUFB10
852,4717,NDUFC1
853,4718,NDUFC2
854,4719,NDUFS1
855,4720,NDUFS2
856,4722,NDUFS3
857,4723,NDUFV1
858,4724,NDUFS4
859,4725,NDUFS5
860,4726,NDUFS6
861,4728,NDUFS8
862,4729,NDUFV2
863,4731,NDUFV3
864,4758,NEU1
865,4759,NEU2
866,476,ATP1A1
867,477,ATP1A2
868,478,ATP1A3
869,48,ACO1
870,480,ATP1A4
871,481,ATP1B1
872,482,ATP1B2
873,483,ATP1B3
874,4830,NME1
875,4831,NME2
876,4832,NME3
877,4833,NME4
878,4837,NNMT
879,4842,NOS1
880,4843,NOS2
881,4846,NOS3
882,4860,PNP
