"","GreaterP","LessP","P","MeanMADRatio"
"KIRC",7.82413450307632e-07,0.999999219101089,1.56482690061526e-06,0.247290725156675
"BLCA",0.259742241894063,0.742638713418481,0.519484483788126,0.0916079167327295
"BRCA",4.3927851659788e-26,1,8.7855703319576e-26,1.51712146645527
"PAAD",0.997074174392722,0.00295155324739069,0.00590310649478138,-0.179605527100751
"PAADHussain1",0.99999999999993,7.09339533026683e-14,1.41867906605337e-13,-0.425432210653667
"PAADHussain2",0.999985857740423,1.41847944912174e-05,2.83695889824348e-05,-0.383924335634448
"PRAD",0.852035498398479,0.148411732032006,0.296823464064011,-0.124160615717608
"PRADLODA",0.839619984392834,0.160537386241103,0.321074772482206,-0.0220751830187173
