Metabolite,22210-0003Normal,22210-0003Tumor,22210-0002Normal,22210-0002Tumor,22210-0007Normal,22210-0007Tumor,22210-0008Normal,22210-0008Tumor,22210-0012Normal,22210-0012Tumor,22210-0011Normal,22210-0011Tumor,22210-0013Normal,22210-0013Tumor,22210-0014Normal,22210-0014Tumor,22210-0015Normal,22210-0015Tumor,22210-0016Normal,22210-0016Tumor,22210-0021Normal,22210-0021Tumor,22210-0020Normal,22210-0020Tumor,22210-0022Normal,22210-0022Tumor,22210-0023Normal,22210-0023Tumor,22210-0024Normal,22210-0024Tumor,22210-0028Normal,22210-0028Tumor,22210-0029Normal,22210-0029Tumor,22210-0030Normal,22210-0030Tumor,22210-0034Normal,22210-0034Tumor,22210-0035Normal,22210-0035Tumor,22210-0038Normal,22210-0038Tumor,22210-0039Normal,22210-0039Tumor,22210-0040Normal,22210-0040Tumor,22210-0042Normal,22210-0042Tumor,22210-0044Normal,22210-0044Tumor,22210-0047Normal,22210-0047Tumor,22210-0054Normal,22210-0054Tumor,22210-0056Normal,22210-0056Tumor,22210-0057Normal,22210-0057Tumor,22210-0061Normal,22210-0061Tumor,22210-0062Normal,22210-0062Tumor,22210-0063Normal,22210-0063Tumor,22210-0064Normal,22210-0064Tumor,22210-0065Normal,22210-0065Tumor,22210-0066Normal,22210-0066Tumor,22210-0067Normal,22210-0067Tumor,22210-0068Normal,22210-0068Tumor,22210-0072Normal,22210-0072Tumor,22210-0074Normal,22210-0074Tumor,22210-0075Normal,22210-0075Tumor,22210-0077Normal,22210-0077Tumor,22210-0078Normal,22210-0078Tumor,22210-0080Normal,22210-0080Tumor,22210-0081Normal,22210-0081Tumor,22210-0082Normal,22210-0082Tumor,22210-0085Normal,22210-0085Tumor,22210-0086Normal,22210-0086Tumor,22210-0090Normal,22210-0090Tumor,22210-0091Normal,22210-0091Tumor
aconitate,-1.687944498,-1.868287815,-1.039577346,-0.505487317,0.655028261,-0.016052073,0.260274606,0.365834166,-2.109538962,-1.130718421,-0.237566761,0.07900479,-0.851146408,-1.485072836,0.185546692,0.522469659,-0.147975601,-0.641393028,0.113469006,0.371996319,1.497719669,-0.780942571,-0.61738542,-0.017019669,-0.400646078,-0.471808502,-1.131784587,-0.806157805,-0.874709292,-2.018655503,NA,NA,NA,NA,NA,NA,-0.636421025,NA,0.252442019,-0.34913935,-1.506098073,-1.598539739,-0.804920762,-0.236543191,NA,NA,NA,NA,NA,NA,-1.331432697,-0.827304751,-0.25854297,-0.788500428,-0.729684263,-0.978061961,-1.052521795,-0.590569562,3.065165654,2.898446968,2.626056147,2.608900422,2.527352133,2.937610257,2.390715804,2.571687267,2.886433517,2.517007075,3.675140342,2.79889014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.436724215,-1.970236082,-0.709021272,-0.850971791,0.988358759,-0.450872243,-0.897394094,-0.946274214,0.280879142,-1.004528917
adenosine,0.029425287,0.656403275,-1.799708494,-1.909859359,-2.239165371,-1.429088515,1.273939072,1.669011581,0.015854856,0.17157234,1.201164957,0.194978578,0.802669308,-1.311118256,-0.008648224,-1.026144357,0.363553297,-0.094698907,-2.402611451,-1.938861234,-2.355018196,-1.45358583,0.743895377,1.981460369,-1.712753357,1.777668995,-0.111938042,0.932020524,1.770659386,-0.121903341,1.088642065,1.036189208,1.60977526,1.73802247,1.405657734,3.098993374,0.852694072,-0.758493166,-1.139873786,1.228244983,1.645996019,0.342373749,-1.464426471,-1.510860247,0.68014504,0.166412364,2.208771284,1.715436162,1.175981653,0.30928261,-0.540266248,1.110562315,-1.079319656,0.101050203,0.356719745,-5.245251487,-1.991933846,1.528627619,0.394629819,2.145252671,0.28359237,0.866828216,0.885933834,1.592983162,1.696688674,2.623864994,1.714975376,2.712446959,2.780330438,1.401673304,NA,-1.175640101,-4.393403383,-2.501776893,-2.836277264,-2.122158474,-2.360753724,0.947915599,-1.372649262,-0.020224031,0.148167906,1.91028601,-1.942865253,1.267308178,-1.43145209,0.427334982,-4.039900913,-2.570526666,-5.384414593,2.021584819,-1.909315282,2.765952033,0.432937868,-0.844772046,-0.928462919,0.744183308,0.085573827,0.449223098
adenosine 5'-phosphosulfate,1.963386671,0.320448614,-0.037211972,0.555912273,1.779153731,2.084182869,-1.82142288,-2.09044833,NA,0.983597924,NA,0.067947012,-0.88051647,0.297696396,0.900403602,-0.353622298,0.065594261,-2.120503928,-0.182042725,-2.031175226,-1.992699694,-0.95955558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70726572,-0.288774772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.573260854,NA,0.861218651,1.429558329,0.805380375,0.924054527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183544799,-1.330270809,-0.656876837,NA,0.189208517,0.2780494,-0.022687122,NA,NA,-1.544254001,NA,0.0165244,-1.537552153,0.084155075,-0.466409287,1.076374186,NA,NA,1.673496621,3.362977111,1.128367135,0.461316834,NA,-1.04614515,0.359489386,0.149974737,0.127735985,-0.487053616
ADP,2.720110099,1.67420965,1.382016407,1.516598701,2.80952098,3.190800003,-0.776916824,-0.283524418,-1.522579519,1.857281281,0.169323782,1.830071892,-0.254967697,1.261882108,1.133357737,0.246539645,-1.417937341,-3.994146904,-0.148979969,-2.426221328,-2.535534145,-1.974731213,-3.397201702,-1.659705142,-2.148623227,-1.288516174,-0.651575389,-2.782972614,-1.04828556,-1.154056898,-1.570140972,-1.399337981,0.830185308,-1.04213468,0.722518126,0.224853387,-0.411478839,-2.788163205,-4.825429301,-1.758885571,-1.8552887,-1.109586694,-0.646034808,0.266411026,-1.424047215,-1.13478526,-2.957108048,-1.631661127,-1.371179453,-1.985049281,-2.061290839,-1.002505583,2.271183171,-0.923069154,2.339583954,2.734181281,2.470977075,2.536065597,-2.018028799,-1.546448275,1.775276122,0.311087777,0.856648684,-0.877537172,1.112238066,-0.244535709,-0.3402579,-0.686572762,-1.082072861,1.112190869,1.428473163,-0.162294585,0.134362471,-0.330099801,2.970055437,1.117647109,0.426016525,-1.817462618,-0.460220623,0.62245294,-1.332840966,0.077808835,0.639232781,1.760416802,1.457058814,1.326125467,3.489087052,3.786528671,3.667207436,4.705125438,2.705122227,2.284936228,-0.004479172,-0.009134729,2.329797317,1.337661976,0.846471694,1.988810016
ADP-D-glucose,2.179388479,0.368333753,0.015480424,-0.123932752,1.106061571,2.59687826,-0.492936662,-0.642770306,-2.441601694,0.591317214,NA,-0.474195406,-1.190589563,-0.048210901,1.186578919,-0.297561411,1.683501344,0.031384334,3.14350356,1.038692969,0.575913877,0.61712826,-2.743074419,-1.870702611,-3.772081278,-1.348575142,-1.043566791,-3.528434546,-2.528293475,-1.151327659,-0.28806764,-1.178409204,-0.872661346,-1.945956633,-0.432975689,-2.73350334,-1.09250684,-2.321140894,-2.821106821,-1.957993817,-4.049128938,-0.966933559,0.28280635,-0.577248702,-1.134511527,-2.30673345,-3.180168693,-2.194373988,-2.645323909,-1.893352054,-0.804350925,-0.605892212,1.262855634,-1.556946914,1.996209054,1.137318454,1.843104802,0.388763171,NA,-1.661273093,2.275615702,0.010518387,0.244499004,-0.884692096,1.522107211,-0.15371498,0.466947369,-0.380376513,-1.417959846,0.411184229,3.225318852,1.500968626,1.866794577,1.019822086,2.638558729,1.55036612,1.97578311,-1.343073486,3.16612542,2.882706917,NA,1.336556799,1.508924007,2.259746891,1.65120735,2.115816157,2.851510831,2.484840634,2.800937943,2.694790003,1.46576961,0.700300952,NA,0.246043586,2.318322927,0.986784227,0.319061654,0.891200621
alanine,0.828312262,0.25240346,0.300799494,0.255369473,NA,NA,-1.707942293,-1.712748329,-0.100184749,-0.448711637,0.40277604,0.704340785,-0.382268444,-0.33917664,0.395616986,-0.55148325,-2.603598526,-3.486037768,0.256887054,-0.760345777,0.760546089,-0.665775639,0.101409028,-0.696559737,-0.249340377,-0.47405392,0.798442803,-0.608013485,-1.013152513,0.406232069,0.812083249,-0.241508533,NA,NA,-1.4749955,-2.454843024,-0.33030324,-1.078367119,-0.504845947,-1.266637885,-0.440220172,0.119403575,0.734803189,-0.550363915,-0.26187444,-1.199547074,-0.798653091,-0.495484293,-1.260703059,-0.970132265,-0.127891165,0.237935604,-1.23057029,-1.254573293,-0.596666044,-1.580959007,-0.814418961,-1.032751786,0.408100277,-0.081461582,0.221512506,-0.080445611,-0.114776513,-0.806670085,0.017002834,-0.374398344,0.068321949,-0.096045598,1.350609147,0.048101356,2.027104794,1.441673566,1.677193175,1.855282544,1.294566546,1.501424477,1.800666631,1.41717699,1.264750879,1.396624227,3.39188913,1.561200539,1.706368103,1.584624871,1.359459227,1.068397923,0.324171401,0.214568735,-0.100184749,0.062816989,0.148406149,-0.063552519,-0.15371239,0.088409046,1.043429427,0.013088228,0.804237919,0.184122378
allantoin,-2.428114284,-2.214553008,-0.731496088,-0.092514603,-0.216220259,0.021238026,-1.354411616,-2.950794686,0.378598772,-0.566606458,NA,NA,0.464533588,0.249958302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198090761,-0.051350316,1.251013551,0.425521737,0.563952406,0.545463068,-0.829079773,-1.075293778,1.059373103,1.52596163,0.700592244,0.897923309,0.934698323,1.12210039,-1.858309649,-1.88372716,-2.814325067,-2.651256627,-2.557514895,-2.732418091,-2.549797375,-3.517762486,-2.916338769,-1.974879717,-2.006758397,-2.820161641,1.143524238,-0.315808977,0.535914749,2.048294712,0.656892579,1.145313015,1.02725215,2.294938958,0.381271908,0.28127596,1.901891772,1.200180023,0.206838933,1.588029313,1.105503322,1.00322219,0.752883059,0.89257681,1.437521292,1.470790933,1.278904269,1.72274874,2.291383193,2.471170681,0.789875883,1.683489107,1.825143877,1.858545572
Aminoadipic acid,-0.361303041,-0.057112959,-1.464293921,0.023605649,1.731342536,-1.397254933,0.734435376,0.51125104,-0.400659895,1.041776381,-0.029380764,0.635537511,0.48671311,0.024801346,-0.149655987,0.503970629,0.55413282,0.047016249,0.507190221,0.577721968,0.158645066,0.222396725,-1.466889749,0.08477713,1.765312205,0.995708503,-1.881304019,-0.412653093,0.969073382,-0.072732898,-0.897740861,0.38089444,-0.686014338,-0.769758834,-1.278013146,0.024026612,0.305183355,-0.860552589,-0.404097322,0.056365122,0.565403236,-0.235786159,-0.396684643,-0.094021421,-0.313657582,-0.456906902,0.213961055,0.174776578,0.370312213,0.520725719,0.686468377,0.746137256,1.923369012,1.138143443,-1.646324256,0.364001487,1.303692125,0.255511861,-0.655388928,-1.00073968,-1.050763558,-1.60798776,-0.244042572,0.139580132,-1.243396941,-0.896969332,-0.78222998,-0.373233802,-1.29975634,-1.338094028,-0.190581007,0.639626721,-0.82686445,-0.550771323,0.892550584,-0.503275286,-0.827603817,NA,-0.205783522,-1.513161328,NA,NA,0.278259416,0.177390056,1.228013702,1.788013024,NA,NA,0.875672479,-1.515909373,0.054266409,2.665496328,NA,0.631155964,-1.214107906,0.395330874,1.255712577,0.843784453
anthranilate,0.484933157,0.361150569,-1.841218789,-1.829154565,-1.35576242,-1.719590183,3.660430983,3.364725655,0.030273108,0.580350171,NA,-0.568548635,-0.270639435,0.628959622,1.177287012,-0.022038359,-0.542416728,-0.340538307,-0.480327846,-0.447803364,-0.129308968,-0.731249443,0.252035743,-0.367043929,-0.312471683,-0.560934624,1.063010593,0.268213695,-1.326176056,0.956666482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727464141,0.775040631,-0.954869974,-0.85940889,-0.415808523,-1.55579209,0.556129058,1.453775333,NA,NA,NA,NA,NA,NA,0.516383064,0.54316201,-0.429914904,-1.107204083,0.475709284,0.437554116,0.216824523,0.303663664,1.488232427,-1.458174593,NA,-2.246677212,-0.711412047,0.333606921,-0.23371621,-0.251110726,0.298091375,-0.141023929,0.835645682,0.635036681,1.963049501,1.035797725,NA,0.217848452,0.044623285,-0.594120375,-1.841366598,1.227988128,NA,NA,-0.32927732,-1.247080964,-1.073818964,0.303105745,1.135478678,-1.003335409,0.017766,-0.422869524,-0.140659573,NA
arginine,-1.847979519,-0.708611179,0.916528663,-0.750022921,-0.999784729,-0.580603651,1.326997699,-0.636916691,1.181445281,-0.267614275,0.226502588,-1.68904627,0.472147707,-0.373412785,-1.02010532,0.010175105,0.044675108,0.357206398,-0.570147481,-0.07444195,0.116159173,-1.753202253,0.228076956,-0.011541153,0.926951731,-0.013738115,-1.635380537,0.102140285,0.091743335,0.019380409,-0.805666108,-0.272119571,0.528645563,0.495819658,-1.242426403,0.085468336,0.563038808,0.665422523,0.706051924,0.67286294,0.770008022,0.373131186,-0.227295055,0.241225302,-0.246880468,0.599834777,0.550270097,0.154008905,0.240583988,0.042568475,0.352602856,-0.870147689,0.158997135,0.59724464,-0.305636268,0.419694333,0.123731458,0.179087488,0.899913254,0.590611723,-0.299447153,0.101316883,-0.467832852,0.437343874,-1.383730057,0.034289528,-1.151937259,0.172978826,0.410832159,-0.080800199,-1.271239979,-0.305362158,-0.060966106,0.269560931,0.141443446,0.23926368,-0.627397752,1.117581032,-1.219495393,0.33772685,0.74598499,0.130261523,-0.375760779,-0.357937427,0.04338966,0.16114764,0.343521407,0.372766922,0.043149507,0.584365545,0.547640405,0.183118128,1.103061005,0.580453722,-0.942765666,0.393826017,0.037395337,0.323488638
