"","MCCR-00039-01","MCCR-00040-01","MCCR-00041-01","MCCR-00042-01","MCCR-00043-01","MCCR-00044-01","MCCR-00045-01","MCCR-00046-01","MCCR-00047-01","MCCR-00048-01","MCCR-00049-01","MCCR-00050-01","MCCR-00051-01","MCCR-00052-01","MCCR-00053-01","MCCR-00054-01","MCCR-00055-01","MCCR-00056-01","MCCR-00057-01","MCCR-00058-01","MCCR-00059-01","MCCR-00060-01","MCCR-00061-01","MCCR-00062-01","MCCR-00063-01","MCCR-00064-01","MCCR-00065-01","MCCR-00066-01","MCCR-00067-01","MCCR-00068-01","MCCR-00069-01","MCCR-00070-01","MCCR-00071-01","MCCR-00072-01","MCCR-00073-01","MCCR-00074-01","MCCR-00075-01","MCCR-00076-01","MCCR-00078-01","MCCR-00079-01","MCCR-00080-01","MCCR-00081-01","MCCR-00082-01","MCCR-00083-01","MCCR-00084-01","MCCR-00085-01","MCCR-00086-01","MCCR-00087-01","MCCR-00088-01","MCCR-00089-01","MCCR-00090-01","MCCR-00091-01","MCCR-00092-01","MCCR-00093-01","MCCR-00094-01","MCCR-00095-01","MCCR-00096-01","MCCR-00097-01","MCCR-00098-01","MCCR-00099-01","MCCR-00100-01","MCCR-00101-01","MCCR-00102-01","MCCR-00103-01","MCCR-00104-01","MCCR-00105-01","MCCR-00106-01","MCCR-00107-01"
"","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"mead acid (20:3n9)","2.635952","1.434783","3.015608","2.060394","2.527617","0.813156","6.157543","1.000000","2.538451","0.867986","1.265790","0.786468","3.016011","0.783736","1.000000","1.384971","3.024808","1.172924","0.362243","1.573655","5.336538","1.000000","2.682589","0.664927","0.791838","0.510463","0.296979","0.301429","0.715737","0.427552","1.656086","0.983404","0.466872","3.128687","4.077920","0.943175","0.201038","0.313292","3.675175","0.674784","0.706001","1.240164","0.287647","1.051433","0.681911","0.226549","2.196727","0.249464","0.535926","3.899982","0.175287","0.173122","0.622370","0.257271","1.888210","0.739874","0.359764","1.521929","0.484437","1.513029","0.647419","2.671258","2.379253","1.499685","1.334773","0.592732","2.632728","1.309531"
"methionine","1.474934","1.900046","1.039342","0.662874","0.554440","0.708375","0.562272","0.817200","0.905347","0.596823","0.681124","0.783766","1.470195","1.302814","0.675984","1.133117","0.704457","0.719525","1.858492","0.773708","0.711237","1.376124","1.197253","0.810902","0.759739","1.275847","1.079086","1.361092","0.724393","1.447107","1.000000","2.641724","0.905574","0.807636","1.338292","0.754963","1.525285","0.715089","0.992470","1.284585","1.000000","1.503419","0.537411","1.476864","1.303224","0.886021","2.059289","0.533774","1.415642","0.920520","0.487655","0.602440","1.161762","1.005460","0.701033","1.535263","0.405226","1.709719","1.302326","1.137069","1.314629","0.710201","0.568450","1.564101","1.404878","0.754551","1.000000","1.562236"
"methyl palmitate (15 or 2)","0.914635","1.130986","1.000000","0.837803","0.952171","1.078068","1.077888","0.776597","0.864649","0.765796","1.024784","0.751352","1.074767","0.973479","0.978391","0.824322","0.977120","0.865036","0.813237","0.838529","0.946797","0.885735","2.034867","0.879683","1.304881","0.945007","0.798393","0.948306","1.132925","0.809717","1.008956","1.256677","0.965342","0.902935","1.000000","1.087544","1.385481","0.875354","1.396209","1.100868","1.200890","1.513677","0.669222","1.194961","1.351004","0.810958","1.132125","1.124087","0.959710","0.738225","1.000000","0.794575","1.070319","0.739945","1.061996","1.026240","0.632428","1.667295","1.376337","1.049549","1.275347","1.120178","3.257519","1.011775","0.956521","0.928305","1.055645","1.144456"
"3-methylglutaroylcarnitine (c6)","0.914515","0.914515","0.914515","0.943942","0.914515","0.914515","3.156545","0.914515","0.914515","0.914515","0.914515","1.169512","0.920273","2.551405","0.914515","1.000000","0.914515","0.914515","0.914515","0.935365","0.914515","0.914515","0.914515","0.914515","0.914515","0.920513","0.914515","0.914515","1.064635","1.000000","0.989326","0.914515","0.914515","1.354070","0.914515","0.914515","0.914515","0.914515","1.310678","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515","0.914515"
"methylphosphate","1.434376","1.154646","1.253016","1.670649","1.426815","0.748749","2.779726","1.338312","0.838177","1.632256","1.373608","1.161827","1.928664","0.762312","1.000000","1.654979","1.756378","1.599779","0.670740","1.022196","1.787077","0.640772","2.006178","1.039111","0.604092","0.502025","0.425900","0.790620","1.782751","0.942339","1.305817","1.321675","0.733751","1.913342","0.917829","0.898697","1.000000","1.134456","1.567857","0.996629","0.680955","1.125409","0.935168","0.709626","0.838679","0.877051","1.258458","0.615728","1.000000","1.362854","0.532660","0.409337","0.829785","0.789152","0.927831","0.994576","0.467124","0.747116","1.142018","1.562382","1.313237","1.470921","0.502500","0.900129","1.266382","0.904908","0.833683","0.797932"
"metoprolol","1.079097","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","1.000000","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","1.000000","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903","0.920903"
"metoprolol acid metabolite*","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","1.000000","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","1.714391","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","1.000000","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609","0.285609"
"myo-inositol","2.660141","1.569792","2.124675","1.839206","1.818990","2.238505","2.557069","2.773662","2.548830","3.588541","1.648902","4.138361","3.571567","3.075958","2.709524","2.682663","2.676234","0.980540","0.960131","2.299922","2.555307","1.496062","0.570031","2.322100","0.267602","1.787039","0.815820","1.657932","1.862007","3.827693","2.375984","1.636803","0.353267","2.556184","0.375463","0.215731","0.928885","0.245532","0.819266","1.000000","0.340187","2.184933","0.506616","0.399256","0.708431","0.605963","2.113908","0.544634","0.867620","3.960261","1.000000","0.355749","0.539116","0.290684","0.545092","1.000000","0.536714","1.537737","0.860570","0.426899","0.839485","1.965552","0.034036","0.504665","0.477584","0.640909","0.740931","0.706398"
"myristate (14:0)","1.018170","1.000000","1.166525","0.999423","0.882993","1.160147","1.159548","0.820674","0.954328","1.022048","0.938053","0.756621","0.885164","0.858527","1.000000","0.905933","0.958077","1.002951","1.009104","0.786708","1.121250","0.971055","1.219344","0.979477","1.307829","0.762078","0.797965","0.775170","1.200800","0.778615","0.920309","1.355199","0.800242","0.998648","1.226785","1.032576","1.000000","0.805987","1.449325","1.239373","0.888943","1.470446","1.006136","1.058787","1.148674","0.868089","0.906989","1.032624","1.004642","0.843587","0.938385","0.899929","1.068073","0.718535","0.948656","0.984053","0.757762","1.615703","1.075538","1.146636","1.208955","1.147429","2.539463","1.206905","0.917427","0.786735","1.257676","1.086853"
"myristoleate (14:1n5)","0.802978","1.221898","1.202680","0.858163","0.791134","1.041473","1.138105","0.709521","0.651602","0.927237","0.540362","0.670135","0.793197","1.075593","1.048426","0.738104","0.595845","0.942313","1.159718","0.467109","1.231309","0.681931","0.845678","1.172439","2.623067","0.471780","0.691491","0.862141","0.678937","0.574053","0.625274","1.309021","0.833708","0.791184","1.187300","1.098476","0.879603","0.819001","2.045767","1.321493","1.000000","1.403423","1.024429","1.094930","1.265499","1.062344","0.934383","1.322389","1.349397","0.638229","1.391958","0.467109","0.993752","1.124952","0.975571","0.961415","0.947531","0.860999","1.055758","2.899861","1.458545","1.081583","4.861060","1.532879","0.861358","1.000000","1.567692","1.109752"
"1-methyladenosine","0.996419","0.883807","0.792529","1.384150","0.936356","0.792529","0.792529","1.097555","0.858492","0.792529","1.015054","0.792529","0.792529","0.909304","1.068177","1.249010","0.935274","0.792529","0.984477","0.968326","0.792529","1.101129","1.926292","0.792529","0.792529","1.166418","0.849797","1.504670","0.792529","0.792529","0.792529","1.238950","0.901442","1.167524","0.792529","0.792529","1.000000","0.823841","0.898834","1.146005","0.792529","1.135930","0.792529","0.792529","0.792529","0.792529","0.868079","0.792529","0.792529","1.189707","0.792529","0.948869","0.792529","0.924041","0.997605","1.000000","0.970204","1.103070","0.792529","0.792529","1.002395","1.527759","0.974530","0.792529","0.792529","0.792529","1.086668","1.059681"
"n6-acetyllysine","0.545050","0.808650","0.872395","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","0.968220","1.000000","0.545050","0.545050","0.545050","0.545050","0.545050","0.545050","1.000000","0.545050","1.973601","0.545050","1.896013","0.982999","0.545050","0.545050","0.926535","1.253584","0.545050","0.545050","0.920392","0.719619","1.317689","0.747176","0.545050","0.646010","0.545050","4.334048","0.814365","1.000000","1.371624","0.545050","0.545050","0.545050","1.640607","0.545050","0.637945","0.545050","0.545050","0.992503","1.654283","1.200797","0.545050","2.509074","1.163612","0.878684","0.646120","0.545050","1.268472","1.373545","0.545050","1.048473","1.000581","2.126904"
"n-acetylalanine","1.750183","1.203549","1.439840","0.820735","0.568981","1.048648","1.264385","0.523671","0.966115","0.649515","0.921670","1.055600","0.616287","1.508726","0.851564","0.851006","0.890875","0.523671","0.523671","0.680918","0.904052","1.068040","1.648574","1.077252","0.523671","1.090130","0.523671","0.782034","1.392780","0.856727","0.593496","1.078330","0.523671","1.000000","0.705683","0.910273","1.116564","0.523671","2.055699","0.849670","0.523671","1.539635","0.523671","0.523671","1.300603","0.523671","1.000000","0.523671","1.621387","1.295794","0.523671","0.523671","0.716043","0.523671","0.523671","1.046785","0.523671","1.269936","0.658079","1.244700","0.523671","1.138606","0.523671","0.895416","0.523671","0.629096","0.765501","1.541313"
"n-acetylaspartate (naa)","0.050447","0.045645","2.517115","5.916962","2.803917","0.208228","1.805658","0.656178","0.588126","9.806941","2.755224","3.999617","0.021480","0.296809","2.740843","1.299837","5.676726","5.721345","0.632643","1.957938","0.527041","1.427445","4.057776","2.827301","0.021480","0.110981","0.156745","0.269748","18.296759","1.000000","3.197595","0.800856","1.149116","3.238132","2.003272","0.028168","2.826384","0.717166","1.431505","2.968363","0.425208","0.183288","2.390289","0.465649","0.089967","0.414963","0.366227","0.453418","0.341445","1.762188","1.866201","0.021480","0.234214","0.700163","2.643592","5.237242","0.037856","0.924333","9.228984","0.097984","0.049791","0.514454","0.047828","0.347613","1.796843","3.114685","1.075667","0.120122"
"n-acetyl-aspartyl-glutamate (naag)","0.776725","0.193826","2.176909","2.350137","3.729804","1.122789","2.690759","1.152340","0.666432","2.128203","2.650836","5.089782","0.243254","2.310762","1.205283","2.372406","2.536579","1.578050","0.337133","2.024192","2.985543","1.000000","3.149012","1.629373","0.096755","0.399522","0.145510","0.120262","5.446003","1.454853","1.618231","0.591023","0.901832","2.012589","1.024754","0.312651","2.572752","0.354768","3.509138","0.975246","0.241682","0.096755","1.325699","0.397509","0.096755","0.748288","0.623002","0.347333","0.469026","3.471911","1.585082","0.096755","0.552165","0.511001","0.887252","1.473780","0.096755","0.817596","3.315041","0.991807","0.251093","0.898999","0.096755","0.231518","1.000000","0.740460","1.462134","0.163234"
