"","MCCR-00039-01","MCCR-00040-01","MCCR-00041-01","MCCR-00042-01","MCCR-00043-01","MCCR-00044-01","MCCR-00045-01","MCCR-00046-01","MCCR-00047-01","MCCR-00048-01","MCCR-00049-01","MCCR-00050-01","MCCR-00051-01","MCCR-00052-01","MCCR-00053-01","MCCR-00054-01","MCCR-00055-01","MCCR-00056-01","MCCR-00057-01","MCCR-00058-01","MCCR-00059-01","MCCR-00060-01","MCCR-00061-01","MCCR-00062-01","MCCR-00063-01","MCCR-00064-01","MCCR-00065-01","MCCR-00066-01","MCCR-00067-01","MCCR-00068-01","MCCR-00069-01","MCCR-00070-01","MCCR-00071-01","MCCR-00072-01","MCCR-00073-01","MCCR-00074-01","MCCR-00075-01","MCCR-00076-01","MCCR-00078-01","MCCR-00079-01","MCCR-00080-01","MCCR-00081-01","MCCR-00082-01","MCCR-00083-01","MCCR-00084-01","MCCR-00085-01","MCCR-00086-01","MCCR-00087-01","MCCR-00088-01","MCCR-00089-01","MCCR-00090-01","MCCR-00091-01","MCCR-00092-01","MCCR-00093-01","MCCR-00094-01","MCCR-00095-01","MCCR-00096-01","MCCR-00097-01","MCCR-00098-01","MCCR-00099-01","MCCR-00100-01","MCCR-00101-01","MCCR-00102-01","MCCR-00103-01","MCCR-00104-01","MCCR-00105-01","MCCR-00106-01","MCCR-00107-01"
"","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor","tumor"
"1,2-propanediol","0.754591","70.662605","1.149948","0.647386","0.970823","1.940402","1.208724","0.705122","0.811871","0.821384","0.880079","0.353035","0.796464","0.897623","0.674276","1.030542","1.216218","0.343009","16.680046","1.515197","0.606449","0.959078","0.974140","1.000000","0.443586","1.077021","0.761463","2.001384","0.343009","6.278276","0.741317","0.596411","5.084198","1.000000","1.336066","0.893803","1.475166","0.473979","3.674078","2.470982","1.472806","1.480762","0.617948","0.804693","1.292067","1.501124","3.700427","4.861660","1.114148","21.296799","0.980815","1.025860","0.343009","1.109560","0.920495","1.209205","0.607226","11.420506","0.870867","0.784959","0.861115","0.877866","6.837523","0.904093","0.343009","0.597275","33.534023","14.578205"
"dihydroxyacetone","1.271282","1.058739","0.658311","1.171487","0.820982","2.903349","3.712660","1.432083","2.302596","1.802255","2.778761","0.661281","3.023981","1.020279","1.377521","1.627898","0.979721","0.816292","0.831190","0.596322","1.369851","1.402779","0.743703","0.691181","1.152748","1.944467","0.942854","1.142910","1.157713","1.293860","0.396545","1.526065","0.669434","1.090085","1.048623","0.215420","0.690262","0.577199","1.590365","0.860112","0.215420","0.601567","0.430356","1.000000","0.909915","0.764129","1.358065","0.646156","0.215420","2.733255","0.215420","0.712338","0.619775","0.609030","0.526963","0.684717","0.215420","0.722104","0.529542","0.397078","3.677192","1.035849","0.237641","1.662405","1.245541","0.491666","1.085126","0.740383"
"1,5-anhydroglucitol (1,5-ag)","0.776014","0.407874","0.448728","1.433033","0.797051","1.548506","0.956073","0.876512","1.833872","0.610582","1.013083","0.703392","0.658494","1.722243","1.803530","1.929650","1.074126","0.338408","0.093856","1.000000","1.307770","0.729439","1.157919","1.680632","2.623212","1.158097","0.980045","1.574049","0.702364","1.565323","1.056874","1.197661","0.864069","1.196096","0.987690","1.943136","1.000000","0.946530","0.709429","0.752069","0.882995","1.427894","1.611550","0.521377","1.711671","2.325412","1.000000","0.708378","1.138240","0.385847","0.964995","0.262933","1.040183","1.324596","0.423278","0.692136","0.346316","1.277661","1.039964","1.251107","1.794172","0.765034","2.154494","0.376880","0.317336","0.891733","0.617989","1.362726"
"10-heptadecenoate (17:1n7)","2.053545","0.952433","1.642515","1.178867","1.492696","0.749396","2.404504","1.520108","0.913439","0.845838","1.341443","1.054114","1.034494","0.728648","0.632464","1.000000","1.438315","1.010998","0.516396","1.000000","3.241529","0.482291","1.225950","0.392722","0.684212","0.619229","0.288845","0.335470","1.555623","0.505124","0.552412","1.089343","0.971076","1.149273","1.430353","2.509290","0.467103","0.661067","2.182652","1.585748","0.490804","1.059021","0.600628","1.058676","0.738935","0.488387","0.458642","1.558183","0.925355","0.678283","0.307421","0.278827","2.831880","0.503760","0.725187","0.917508","0.371251","1.520416","1.000000","3.072776","0.914743","1.551635","1.277767","1.197315","1.062077","1.005224","0.956476","2.049934"
"10-nonadecenoate (19:1n9)","2.501082","0.693846","1.341550","1.110216","0.804058","0.566141","2.607034","1.000000","0.538137","0.800440","1.312646","0.909972","1.047649","0.689559","0.349931","0.815012","0.776048","1.000000","0.749668","0.605487","2.881037","0.600357","1.737984","0.429731","1.133514","0.562913","0.260898","0.578277","1.131266","0.371236","0.693557","1.686193","0.583688","0.732215","1.618166","3.779115","0.882095","0.664903","2.198699","1.633160","0.660527","2.710742","0.864358","1.730714","1.426276","0.664750","0.767870","1.508109","1.159075","0.850802","0.385620","0.368879","4.306451","0.914681","0.945746","1.454226","0.351754","1.833878","1.049953","7.153028","1.323904","1.301484","1.927651","3.155775","1.303636","1.000000","1.275455","4.722226"
"13-hode + 9-hode","0.478311","0.333522","3.949485","2.553296","0.762108","0.546809","0.333522","1.733034","4.324172","2.092877","1.892132","0.333522","3.632406","1.863837","0.772353","1.574064","0.333522","1.721949","0.338938","0.333522","0.947253","0.635415","0.975002","0.333522","1.017535","0.333522","0.746388","0.333522","0.916029","2.451547","0.555327","0.333522","0.333522","1.008293","0.538281","1.000000","0.991707","0.333522","0.828046","0.691912","0.333522","2.839853","0.333522","1.796461","0.965511","1.026314","0.333522","6.777909","2.605729","0.333522","0.460403","0.333522","0.412164","0.333522","0.333522","0.770594","0.333522","1.024998","1.557267","1.315590","1.278370","0.656241","1.613856","0.900315","0.560337","0.897929","0.510951","1.190163"
"13-methylmyristic acid","0.878975","1.092565","1.125491","1.026520","1.086922","1.158768","1.333496","0.765744","0.837890","1.097977","0.963577","0.853289","1.000000","0.953403","0.898730","0.918394","1.124302","0.965798","0.791714","1.017072","1.249241","1.063930","1.190313","0.945055","1.020134","0.847349","0.743145","0.778078","1.387026","0.864549","1.231621","1.195909","0.758816","0.983173","1.257459","1.067876","0.971812","0.900177","1.100211","1.129332","1.016114","1.164846","0.727416","1.003859","1.179532","0.838054","0.897107","0.782576","0.878025","0.614616","0.875704","0.910706","1.000000","0.770513","0.864337","1.092650","0.869728","1.544061","1.195265","0.804371","1.118981","1.210673","1.098096","0.871552","0.887297","1.011600","1.000000","1.047240"
"1-arachidonoyl-gpc* (20:4)*","1.000000","1.124958","1.064086","0.473692","0.716937","0.473692","1.357207","0.545824","0.473692","0.877840","0.473692","0.473692","0.473692","0.473692","0.473692","0.473692","0.969397","1.119214","0.473692","0.473692","1.506615","0.473692","1.829783","0.473692","0.473692","0.473692","0.473692","0.473692","1.030603","0.473692","0.473692","1.761455","0.473692","1.138384","0.473692","0.473692","0.473692","0.473692","0.473692","1.173962","0.473692","0.473692","1.239141","1.248974","0.473692","0.473692","1.740642","0.473692","0.482672","0.473692","0.981536","0.473692","0.473692","0.473692","0.638192","0.853337","0.473692","0.473692","0.785742","0.473692","0.473692","0.473692","0.473692","0.473692","0.935914","0.473692","0.473692","0.742729"
"1-arachidonoyl-gpe* (20:4)*","0.991293","1.251320","1.153413","1.306093","0.904542","0.927514","1.746603","0.829600","1.874782","1.757818","1.149683","0.559265","1.587058","1.173061","1.671684","1.026488","1.968438","1.457277","0.700702","0.621570","2.484881","1.250114","0.897009","0.770523","0.888080","1.326111","0.473746","0.835680","1.948882","1.569170","0.798544","0.771061","1.081975","1.789126","0.946550","1.061530","0.972578","0.980404","1.046929","1.028633","0.556549","1.181079","0.631933","0.705057","1.095119","1.000000","1.230611","0.954877","1.099473","1.000000","1.000000","1.787875","1.713938","0.504185","0.745500","0.763746","0.838221","1.570797","0.911194","0.951251","0.883746","1.090205","1.584495","0.959785","0.823766","0.787662","1.067808","0.906699"
"1-arachidonoyl-gpi* (20:4)*","0.597160","1.627269","1.436879","0.411916","0.767344","0.411916","1.146050","0.761387","0.605397","1.145086","0.411916","1.460024","1.028332","0.439487","0.411916","1.081779","0.719280","1.107882","0.411916","0.476590","1.386222","0.411916","4.053268","0.812143","0.411916","0.411916","0.811468","0.411916","1.734328","0.411916","0.971668","2.980507","0.411916","0.642455","1.530892","0.661631","1.209773","1.050356","0.411916","0.949644","0.411916","2.561011","0.446864","0.411916","1.794347","0.411916","4.692583","0.605611","1.977371","0.411916","0.635689","0.411916","0.734964","0.411916","2.281707","0.411916","0.411916","2.809890","2.977481","0.970654","0.494411","0.411916","0.411916","2.073954","0.892118","0.927833","0.816785","1.421211"
"1-myristoyl-gpc (14:0)","1.175961","0.754482","2.507030","2.115851","3.645931","0.490878","2.081486","0.886403","1.083038","1.989014","0.968776","0.490878","1.174142","3.030727","0.490878","1.581650","1.834734","2.567060","0.490878","0.772499","0.880847","0.490878","0.761815","0.490878","0.490878","0.490878","0.490878","0.490878","1.131613","0.490878","0.720045","1.238446","0.490878","1.705781","0.490878","0.490878","0.669635","0.490878","0.598077","1.031224","0.490878","0.613040","2.209425","1.258460","0.490878","0.490878","0.490878","0.738690","0.776113","0.803358","1.000000","0.490878","2.206614","0.490878","0.490878","0.820224","0.490878","0.490878","0.745134","0.543580","0.490878","0.490878","0.490878","0.490878","0.947553","0.490878","0.565488","1.000000"
"1-oleoylglycerol (18:1)","1.957746","0.341916","0.584108","0.341916","1.564702","0.745524","2.774717","2.600157","0.892344","2.136571","0.341916","0.975704","1.719260","0.341916","1.000000","1.699588","0.341916","0.341916","0.341916","1.000000","2.869595","1.060875","1.139158","0.530620","0.341916","0.341916","0.341916","0.465655","1.658339","1.249511","0.882266","1.138188","0.341916","1.688755","0.850268","2.166629","0.993667","0.495996","1.627368","1.213710","0.699696","0.967313","0.705338","1.328861","1.006333","0.555488","0.686596","0.624377","0.979094","0.850505","0.570589","0.341916","1.976429","0.418928","0.582625","0.751099","0.591770","1.543976","1.363356","4.655629","0.866297","1.832283","0.530330","0.636378","1.537782","0.577542","1.415746","2.138434"
"1-oleoyl-gpc (18:1)","2.140115","0.716163","2.915687","2.294498","3.273065","0.062748","3.925808","1.739610","1.531154","2.492707","0.662386","0.260795","1.010936","1.316648","0.274723","1.371076","2.072428","2.657078","0.062748","0.610692","2.461325","0.062748","1.825207","0.464470","0.107900","0.062748","0.092077","0.096660","1.403310","0.632083","0.963344","0.841227","0.062748","1.902464","0.062748","0.181057","1.036400","0.062748","0.625446","1.000000","0.094911","0.962743","1.535657","1.000000","0.062748","0.609201","1.563197","0.781793","1.201903","0.839831","1.048720","0.062748","4.545185","0.421552","0.849674","0.889805","0.586580","0.062748","1.710069","1.477718","0.062748","0.681172","0.134598","0.104686","1.889589","0.989064","0.062748","1.764915"
"1-oleoyl-gpe (18:1)","1.664869","0.800959","1.384461","2.528378","2.602780","1.002500","2.878994","3.700525","1.971973","1.742559","2.436756","0.973983","3.113293","2.856635","0.999204","1.665389","1.977518","0.761880","0.363502","1.551024","3.085228","0.718037","0.803395","0.728563","0.564610","1.000000","0.300567","0.300567","1.795997","1.972078","0.811427","0.300567","1.336805","2.947445","0.667154","1.869444","0.752320","0.714922","2.049613","0.831840","0.396532","0.777555","0.565604","0.496719","0.463035","1.447087","0.439361","1.092633","1.044942","0.979146","0.737138","0.699928","3.488205","0.501707","0.652197","0.448718","0.483943","1.034904","0.405039","7.361051","0.725707","1.290811","1.498497","1.882421","0.859780","0.907367","0.609972","1.391543"
"1-palmitoleoyl-gpc* (16:1)*","1.516196","1.000000","3.150357","3.116685","2.809820","0.247298","3.376098","2.471132","1.785289","2.087969","0.809049","0.247298","2.791397","2.205485","0.247298","1.409570","1.761156","3.459377","0.247298","0.862110","1.373311","0.247298","1.603592","0.247298","0.247298","0.247298","0.247298","0.247298","0.851556","0.826528","0.547388","0.788052","0.247298","2.901424","0.247298","0.247298","0.900983","0.247298","0.575672","0.885010","0.247298","0.870845","1.387438","1.000000","0.247298","0.247298","0.656938","0.516982","1.138086","1.673837","1.099017","0.247298","3.044981","0.247298","0.446311","0.889963","0.424376","0.247298","0.875681","0.539703","0.247298","0.847424","0.247298","0.247298","2.017160","0.473539","0.247298","0.907150"
"1-palmitoylglycerol (16:0)","1.116890","0.730463","1.449628","1.104322","1.117757","0.277022","1.935747","1.780287","0.834251","1.737507","0.706427","1.122719","1.108519","0.494777","0.541529","1.218536","1.540847","1.051226","0.548517","0.858131","1.816381","1.179585","1.391316","0.532988","0.311468","0.389810","0.247353","0.267630","2.061890","0.715830","0.999251","1.902390","0.674550","1.178979","1.206694","1.491124","1.149444","0.409976","1.344427","1.776571","0.920559","1.000000","1.522225","0.838937","0.960751","0.809412","0.684289","0.293336","1.121302","1.000000","0.499316","0.433459","1.476277","0.589834","0.752173","1.121566","0.255300","1.000000","0.906068","2.665143","0.548128","1.234424","0.488211","1.810670","1.566915","0.630605","0.906393","3.558815"
"1-palmitoyl-gpc (16:0)","1.999940","0.639804","2.135978","2.265885","2.046359","0.029018","2.633265","1.277720","1.843690","1.985597","0.582354","0.308927","1.157342","1.620132","0.290321","1.230420","1.388507","2.706309","0.057174","0.861632","1.570500","0.041188","1.000000","0.687934","0.057114","0.023517","0.096755","0.023517","1.243967","1.025457","0.975922","1.050404","0.023517","2.100358","0.024836","0.143648","1.341640","0.029568","0.980211","1.232940","0.091726","0.672575","2.213807","1.210564","0.038954","0.869980","0.587011","0.594451","1.445636","0.974543","1.173728","0.023517","3.891123","0.403212","0.948715","1.210288","0.496119","0.023517","1.838738","1.327072","0.023517","0.857472","0.032446","0.058775","2.166185","1.019789","0.023517","1.908446"
"1-palmitoyl-gpe (16:0)","0.472418","0.737396","1.225662","2.016109","1.103782","0.885564","1.687569","0.823077","1.043600","1.848042","1.118581","0.522903","1.434050","1.109465","1.008343","0.625048","1.244778","1.134956","0.487460","0.873944","1.310322","1.417333","0.663015","0.805285","1.239266","0.546242","0.276962","0.383134","1.476801","1.017533","1.000000","1.089953","1.114617","1.893640","1.167636","1.047640","1.345137","1.367720","2.678628","0.996887","0.627619","0.675066","0.873017","0.722669","0.844255","1.042446","0.195923","0.618283","0.985042","0.619499","0.789593","0.506389","1.964100","0.490636","0.195923","1.000000","0.665969","0.888201","0.655987","2.999446","0.654118","0.998106","2.478355","2.018443","1.030426","0.869734","1.003113","1.239006"
"1-palmitoyl-gpi* (16:0)*","1.913984","0.431982","1.000000","1.375542","1.000000","1.002284","2.433227","1.232534","0.431982","1.629757","0.634402","1.054780","1.597207","0.738240","0.885013","1.458134","1.151947","0.869920","0.637496","0.431982","1.888455","0.974887","0.431982","0.897135","0.431982","0.431982","0.431982","0.588643","1.911616","1.011034","0.902989","1.151775","1.462326","1.025113","0.431982","2.393016","0.471409","0.431982","0.574857","0.431982","0.431982","0.813111","0.664794","0.431982","0.431982","0.431982","0.431982","0.431982","0.431982","0.442208","0.431982","0.577023","1.872073","0.431982","0.854240","0.804175","0.431982","1.555456","1.680610","2.988899","0.431982","0.562240","0.431982","1.116653","0.885444","0.537700","0.969360","0.431982"
"1-palmitoylplasmenylethanolamine*","1.479538","0.942637","2.033689","0.803862","1.475956","1.000000","1.371127","1.042999","1.078356","0.638767","0.929943","2.238208","1.253573","0.759249","0.633961","0.885885","0.835142","0.956162","0.711119","0.622264","4.818663","1.204008","1.567125","0.836631","1.254856","0.432086","0.354268","0.840659","0.687563","0.978375","0.628779","1.007429","0.991351","1.520396","1.249072","5.908442","3.457033","1.000000","2.096810","1.070172","0.464435","1.000000","0.727513","1.692302","2.510612","1.874276","2.215691","0.765981","2.212076","0.806839","0.942128","0.777443","9.807240","0.669079","0.928939","0.952959","0.782290","1.926602","0.553960","18.195345","1.008288","2.489076","4.231164","3.935845","1.200087","0.706991","0.748562","2.737495"
"1-stearoylglycerol (18:0)","1.000000","0.706911","1.428452","1.066877","0.725808","0.722524","2.243840","1.028845","0.709663","2.828836","0.826856","0.937401","1.113660","0.611769","0.895356","0.938555","0.927374","1.496124","0.667531","0.647057","1.535440","1.112488","1.233920","1.033343","0.627399","0.363009","0.499671","0.280279","2.168868","0.712142","1.107192","1.257795","0.748996","1.617382","1.092263","1.190520","1.334848","0.778503","1.519417","1.210212","1.000000","0.966484","1.375980","0.744509","1.230976","1.000000","0.535693","0.692798","1.580874","0.853745","0.681422","0.478613","1.490405","0.494101","1.003179","1.268762","0.357689","1.213024","1.453819","1.979207","1.270018","1.349493","0.500722","0.946411","0.976558","0.803605","0.777826","2.655091"
"1-stearoyl-gpc (18:0)","1.551206","0.431396","3.498976","1.795298","2.595463","0.558763","2.729292","0.590415","0.733571","2.076040","0.556569","0.584432","0.451767","0.671099","0.569069","1.042352","1.944846","3.976233","0.082886","0.533310","6.623232","0.076336","1.000000","1.070510","0.147372","0.076336","0.378906","0.076336","1.411364","0.998487","0.713571","1.684124","0.208841","1.358194","0.076336","0.545452","0.943846","0.076336","1.000000","1.298411","0.253386","0.856715","2.817065","1.518679","0.076336","0.772227","0.724078","0.812969","1.509563","0.603640","1.622244","0.076336","14.280858","0.605032","1.587043","2.201631","0.597703","0.076336","3.032531","2.922971","0.076336","1.348763","0.076336","0.223545","3.362478","1.306556","0.076336","6.769362"
"1-stearoyl-gpe (18:0)","0.648455","0.767833","1.048920","1.040557","0.657693","0.539593","1.209311","0.470972","0.679538","2.036624","1.066521","0.294289","0.625759","0.451401","0.985501","0.686842","1.264595","1.085178","0.652457","0.631491","1.000000","1.000000","0.594481","1.043950","1.215713","0.481081","0.472414","0.564330","2.302089","0.644575","0.811365","1.578514","0.646603","1.455724","1.466738","1.195410","1.383064","0.432392","1.713885","1.968620","0.914997","0.876765","1.138171","0.794472","1.460081","1.340570","0.609329","0.745119","1.185240","0.578754","0.844543","0.833534","2.088760","0.747366","1.637878","1.997182","0.541480","0.975879","1.252579","3.523136","0.679952","1.083739","5.121219","3.063586","1.194682","1.530396","1.000000","2.018730"
"1-stearoyl-gpi (18:0)","1.224045","1.043845","1.086797","1.542301","0.907106","0.782246","2.779777","1.498138","1.016772","1.647162","1.176137","0.613728","1.563394","0.681300","0.761140","1.511676","1.728558","1.396393","0.507399","0.895522","1.165510","0.795966","0.688392","0.983229","0.298640","0.598796","1.099269","0.504214","3.043867","0.961219","0.968750","0.214245","0.672304","1.204314","1.805557","1.292022","0.695867","0.563969","0.404923","0.951371","0.356745","1.232579","1.023601","1.349337","1.031250","0.955979","0.214245","0.709310","1.048337","0.214245","0.214245","0.512460","1.553371","0.214245","0.696572","0.837970","0.572646","4.485672","0.890854","2.303613","0.976399","1.116704","0.333324","2.410204","0.214245","1.057086","1.538941","1.763128"
"2-aminoadipate","0.114739","1.682723","0.592143","0.153379","0.065486","0.744066","0.223777","0.281166","0.414865","0.105114","0.122192","0.180994","0.558182","0.321380","0.313417","0.202034","0.105445","0.103117","1.334107","0.214688","0.083216","1.456481","1.652499","0.407196","3.042694","0.215194","1.000000","1.444018","0.047975","0.593233","2.459037","2.845768","3.589042","0.165644","1.471805","0.460810","4.114969","1.000000","17.990005","1.197362","1.884718","3.620392","0.504776","19.835745","0.535903","2.888003","1.177123","1.000000","6.298746","1.339711","1.051984","0.779699","2.408500","1.653836","0.132276","1.304688","0.756541","5.785621","3.337054","0.748258","7.732849","0.757786","0.029977","4.696075","2.361866","1.714745","1.375518","1.105950"
"2-aminobutyrate","0.688971","2.029377","1.407047","0.707838","0.400725","0.441659","1.077543","0.727752","1.000000","0.466239","0.569738","0.329096","1.538209","0.439336","0.299847","0.258177","0.527503","0.507055","1.097879","0.800769","0.258177","1.569056","1.297242","1.274719","1.122741","0.817803","0.776887","1.466074","0.719647","0.512939","2.298390","1.350722","1.002432","0.624504","1.368388","1.067433","2.456254","0.894250","1.564569","1.242403","1.688907","1.985595","1.000000","1.047958","0.607915","1.423646","1.506714","0.693386","3.143913","0.617610","1.039744","0.452714","0.695067","0.824607","1.677319","1.932930","0.572203","1.009802","1.222842","0.756685","4.192967","0.874387","0.409887","0.401631","1.204723","0.960256","1.102474","0.597720"
"2-arachidonoyl-gpc* (20:4)*","1.088359","1.397537","1.717541","1.569005","1.109129","0.071836","2.816992","0.749405","0.256058","1.467874","0.405952","0.071836","0.878422","0.880376","0.142537","1.204630","1.000000","1.572440","0.071836","0.355867","1.000000","0.071836","2.954145","0.372202","0.203859","0.071836","0.152657","0.071836","0.981500","0.227045","0.877494","2.625983","0.071836","1.024107","0.071836","0.071836","3.026770","0.071836","0.937748","3.354910","0.137449","1.548463","3.107379","4.811274","0.071836","0.402931","3.647212","0.975893","1.700554","0.679724","1.212167","0.071836","3.401732","0.411031","1.348619","1.295800","0.459776","0.071836","1.267389","0.878232","0.071836","0.380113","0.071836","0.139445","1.909644","0.631337","0.071836","2.157425"
"2-arachidonoyl-gpe* (20:4)*","0.952202","1.360137","1.177773","1.000000","0.589389","0.754706","1.565230","0.991765","3.123139","1.330716","1.090085","0.709953","1.177540","1.502807","1.586869","0.792211","1.423067","1.406631","0.758552","0.506332","1.614611","1.120005","0.899947","0.803752","0.983449","1.396491","0.667759","1.396465","1.713463","2.552146","1.027177","1.189626","0.512985","1.822778","0.830743","0.541610","2.021548","0.862204","1.175882","1.547038","0.779141","0.809243","0.955757","1.433738","1.339348","1.115478","3.105576","0.998698","1.729404","1.277717","1.510219","0.432970","0.575625","0.435370","0.864620","0.830094","0.949314","1.944252","0.957448","0.649131","0.732962","1.346328","0.765184","1.000000","1.000000","0.709441","0.654903","0.841534"
"2'-deoxyguanosine","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","1.470783","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","1.000000","0.644472","0.644472","0.644472","0.644472","0.644472","1.000000","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","1.917671","0.644472","0.644472","0.681541","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472","0.644472"
"2'-deoxyinosine","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","1.239290","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","0.576509","1.190905","0.576509","0.979880","0.576509","0.963501","0.576509","0.576509","0.576509","0.576509","0.680850","0.576509","0.576509","0.687956","0.576509","0.936550","1.318958","1.018445","0.576509","1.159929","1.708022","0.576509","2.913965","0.898151","0.576509","0.903139","0.576509","0.576509","0.576509","0.986784","0.576509","0.576509","0.576509","1.612516","0.917934","1.009969","1.837858","0.576509","0.576509","0.576509","0.576509","1.000000","0.908177","0.576509","0.576509","1.000000","1.083945"
"2-docosahexaenoyl-gpc* (22:6)*","1.000000","0.822993","0.740610","1.477597","1.122425","0.274447","1.456678","1.096404","0.274447","1.937003","0.450225","0.274447","1.030573","0.982635","0.274447","0.904871","1.000000","1.025831","0.274447","0.587567","0.274447","0.274447","9.509019","0.290106","0.367591","0.312200","0.274447","0.274447","1.762597","0.274447","1.077379","3.229851","0.274447","1.002955","0.274447","0.274447","1.690052","0.352876","1.033449","7.293465","0.274447","0.998013","6.239216","3.219747","0.346876","0.626886","3.259205","0.777737","2.728549","0.274447","1.078002","0.274447","2.101072","0.469441","1.795835","0.974169","0.528138","0.274447","0.917539","0.696154","0.274447","0.274447","0.274447","0.576476","1.430322","0.494592","0.422786","1.447092"
"2-docosahexaenoylglycerophosphoethanolamine*","1.643173","0.733839","2.622733","2.165838","1.483005","0.020113","1.749617","1.065023","0.979195","2.479808","0.810019","0.207926","1.510144","1.284160","0.363026","0.895346","1.394021","3.422617","0.080909","0.934977","0.870873","0.038856","1.564779","0.983723","0.065897","0.020113","0.106339","0.020113","1.692156","0.896066","1.643617","1.216029","0.020113","1.829605","0.035057","0.020113","1.373146","0.066891","0.683496","1.672556","0.111712","0.935299","2.293739","2.321457","0.020113","0.833181","1.666221","0.950617","1.639302","1.228475","1.049383","0.020113","3.066786","0.675947","1.356600","2.537215","0.188358","0.023281","3.797230","0.407828","0.033451","1.016277","0.020113","0.036911","3.956392","1.082555","0.028886","0.961045"
"2-docosapentaenoylglycerophosphoethanolamine*","3.370633","1.772067","1.694174","1.938262","1.363503","0.215292","1.047636","0.651955","0.615371","4.162436","0.749160","0.224179","0.755959","2.228634","0.215292","0.802687","0.899773","2.247486","0.215292","0.310224","1.098676","0.215292","0.741130","0.711806","0.215292","0.215292","0.339187","0.215292","0.979427","0.215292","0.988037","2.267619","0.215292","0.879043","0.215292","0.215292","4.197420","0.215292","0.651118","1.390636","0.215292","1.286625","1.863792","0.666932","0.215292","0.629069","0.624585","1.011963","1.509534","1.000000","1.647353","0.215292","3.696745","0.536705","1.000000","1.313789","0.215292","0.215292","3.097208","0.242302","0.215292","0.825418","0.215292","0.215292","2.261086","0.580404","0.215292","1.700472"
"2-hydroxyacetaminophen sulfate*","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000"
"2-hydroxybutyrate (ahb)","0.756784","2.405520","1.061266","1.453950","0.797651","0.944508","0.734205","0.672390","1.035416","0.630214","0.917617","0.430342","1.241483","1.549810","1.071629","0.961333","0.953038","0.459114","1.034683","0.631060","0.433541","1.459400","1.979277","1.225116","1.906111","1.236713","1.224807","2.129191","0.624759","1.000000","1.434365","1.190311","0.530398","0.866399","1.000000","1.303553","1.000000","0.488525","1.652452","1.339963","0.706086","1.631971","1.136094","1.264504","0.553848","0.858146","0.924313","0.349276","1.208089","2.070780","1.166092","2.038620","0.817044","0.526263","1.016205","1.185905","0.360316","0.628513","1.266557","0.570036","1.902859","0.673101","1.763645","0.538586","0.471785","0.743356","0.971352","0.929003"
"2-hydroxyglutarate","1.080556","38.152130","48.972191","23.847954","24.643270","0.401957","60.311836","9.067203","123.337662","1.000000","30.868853","1.512108","138.335297","43.895809","44.908875","15.626656","19.304768","6.763661","28.379944","57.657681","14.312960","130.813553","1.000000","34.276169","0.648441","47.570450","71.722649","27.719925","3.451317","123.841652","0.771320","219.278076","1.183597","101.261887","2.799260","0.114800","1.475120","0.286618","3.978759","0.548735","0.358948","0.539395","0.583863","1.000000","0.965827","0.450246","0.795098","0.417099","0.428006","0.641381","0.642451","0.232705","0.189431","0.496816","0.405994","0.938381","0.514523","0.596711","0.612620","0.628510","0.151782","0.759936","0.225708","0.423752","0.478372","0.766684","0.411370","1.012525"
