55803,-1.68126938174552,ADAP2
945,-2.1671928170124102,CD33
9450,-2.3184588912194402,LY86
10859,-2.25320357955651,
3792,-3.7275732258171499,KEL
8564,-2.34769226827569,KMO
6276,2.8583827451711299,S100A5
114132,-2.8326091337757999,SIGLEC11
79930,-1.93103339846843,DOK3
79870,-1.97064524236281,BAALC
22797,-2.4369701132338402,TFEC
27036,-2.2287998957605302,SIGLEC7
90427,-1.70110894517787,BMF
51225,-1.6953588185724799,ABI3
64098,-2.4171076902178301,PARVG
4072,2.6956597296262599,EPCAM
7757,-2.2475432599249299,ZNF208
3162,-2.0958835607253299,HMOX1
25780,-1.7366632593419999,RASGRP3
2268,-2.25100506214664,FGR
4145,-2.1753209690264099,MATK
7546,4.6202727478036296,ZIC2
81544,-1.4773962223056201,GDPD5
347454,-1.89939645913258,SOWAHD
29887,-1.9076521570109499,SNX10
79626,-1.8996850306764601,TNFAIP8L2
8778,-2.4657593545796899,SIGLEC5
3995,-1.39161923665113,FADS3
146433,-1.76136778450252,IL34
80896,-1.67350079324241,NPL
26154,5.0150101010676202,ABCA12
139716,-1.79519096585173,GAB3
80183,-2.0092570703389598,KIAA0226L
1524,-2.37737048983711,CX3CR1
126364,-1.7990937986266899,LRRC25
695,-2.2589943090265199,BTK
84106,-2.0771651090177299,PRAM1
202309,-2.4738319306066998,GAPT
255809,-1.8164621633798601,C19orf38
11314,-1.76200346021565,CD300A
30817,-1.66268442155675,EMR2
79782,5.0905333996298703,LRRC31
64065,1.9262887023070301,PERP
254958,-1.2490272497808099,REXO1L1P
5341,-2.3748888079701098,PLEK
3055,-2.05603871529601,HCK
83937,-1.8703643216917201,RASSF4
353238,-1.62284591294181,PADI6
64072,-1.7260949397565599,CDH23
5800,-1.9593468776096501,PTPRO
388325,-2.33564842080485,SCIMP
7044,-3.0564365019154001,LEFTY2
55244,-2.14275161240267,SLC47A1
55691,-1.3800193421267399,FRMD4A
27128,-1.8048026759616,CYTH4
27180,-1.9119251474497001,SIGLEC9
55577,-0.93324357162572302,NAGK
3681,-3.8078204697304399,ITGAD
64174,-1.90270084371793,DPEP2
23240,-1.75212414807396,KIAA0922
4064,-2.0897933807908,CD180
10288,-1.9368029384383301,
53829,-2.1570258600616001,P2RY13
2793,-1.7986687280170599,GNGT2
388228,-1.81462097337482,SBK1
390181,-1.7187214780462401,OR5AK2
2015,-2.5189623508483301,EMR1
647946,2.6309003926089201,LINC00669
4542,-2.0194584474039599,MYO1F
150372,-1.75151118777842,NFAM1
286336,-1.7590254927831299,FAM78A
3101,-2.2827210475114499,HK3
3118,-2.7822184284469,HLA-DQA2
51284,-2.1496825683893799,TLR7
6658,-2.92488551295556,SOX3
