"","x"
"1",-0.500045679111792
"2",-1.37880144835911
"3",-2.63704246961064
"4",-0.753674829429914
"5",-2.29276327937762
"6",-1.11184029613964
"7",-1.1786931085542
"8",-1.23351274238755
"9",-2.00939830136782
"10",-1.14572163147267
"11",1.41047315892128
"12",-1.59556926230335
"13",-1.87279883532233
"14",-1.34100109006302
"15",-1.0672525242257
"16",-1.19127740719898
"17",-1.00724739354488
"18",-0.801430961846252
"19",-3.72187292184188
"20",-1.37177474460249
"21",-2.31758958017162
"22",-3.05671858665705
"23",-1.80380203590782
"24",-1.58062070677497
"25",-1.09584571532211
"26",-1.83350181579317
"27",-0.700476374433552
"28",-1.06034100883697
