"","x"
"1",-0.965652345095167
"2",-0.896647134433148
"3",-0.718092608557584
"4",-0.721543267526119
"5",-1.15323665348749
"6",-0.850668046793474
"7",0
"8",-0.869381111980888
"9",-0.876780667839015
"10",-0.773666383687036
"11",-1.13832572527391
"12",-1.15188073259052
"13",-1.22070597293297
"14",-0.93351986268174
"15",-0.893907740606664
"16",-0.63915194973251
"17",-1.10893071762355
"18",-0.79258989027023
"19",0
"20",-1.04073513660245
"21",-1.02903575594138
"22",-1.697943554888
"23",-0.855155376074871
"24",-1.10209380480035
"25",-0.845591046919371
"26",0
"27",-1.056309411549
"28",-0.952625001687526
"29",-1.33394611180846
"30",-0.896957190842887
"31",-1.04838732457907
"32",0
"33",0
"34",-0.982745853726348
"35",-1.04115615480275
"36",-1.12354596282403
"37",-1.16448188077749
"38",-1.18585543417507
"39",-1.40244545572606
"40",0
"41",-0.566565972503435
"42",-1.06879744662607
"43",-1.69770336414357
"44",1.52920840172746
"45",-0.735783272003617
"46",-1.33929979229456
"47",-1.41593868674368
"48",-0.6023089834668
"49",-1.32743655515398
"50",-0.902443831752177
"51",-0.879510580285833
"52",-1.1683652110179
"53",-0.998799243172699
"54",-1.08546171099041
"55",-0.868750423734768
"56",-1.39111907356463
"57",-1.69392567771116
"58",-1.09616154484515
"59",-1.11743804762851
"60",-0.911656125333473
"61",-1.5688245125892
"62",-1.72176188527082
"63",-1.10032754687778
"64",-0.961374424689615
"65",-1.1402422580095
"66",-1.43195970556646
"67",-1.11954269499327
"68",-0.902188647675692
"69",-1.44926166613027
"70",-1.03777820246883
"71",-1.13687608586806
"72",-1.29523929403329
"73",-1.40441483846604
"74",-4.17037687589653
"75",-0.472198016791038
"76",-1.02213431989279
"77",-1.18801094972979
"78",-1.29856512196452
"79",-0.846694430631928
"80",-1.14549013663935
"81",-0.586621507763557
"82",-1.22756670262
"83",-1.14084027299255
"84",-1.57458926144889
"85",-0.716902140120671
"86",-0.508002766468509
"87",-0.845550192968767
