"","x"
"1",-1.81995195284995
"2",-2.10979976164285
"3",-1.52315870310307
"4",-1.39499155707709
"5",-1.97449312493504
"6",-1.45282814967706
"7",-3.03533307311228
"8",-1.82555060722335
"9",-1.3225475875073
"10",-3.67544867027876
"11",-1.41221145520008
"12",-1.98173982121847
"13",-1.77378669209206
"14",-2.59813055667073
"15",-3.44105786619735
"16",-1.55517279427147
