"","x"
"1",0
"2",0
"3",-0.434740395100406
"4",0
"5",-0.459450788892538
"6",-1.15679446729148
"7",0
"8",-0.37286535542862
"9",-0.945330612454656
"10",0
"11",1.10912535372035
"12",0
"13",0
"14",-1.05087048795858
"15",0
"16",0
"17",0.870289366845007
"18",-0.528172621216482
"19",0
"20",-1.72131194281477
"21",-1.09057096180058
"22",0.812956410798804
"23",0
"24",0
"25",-0.707920382689937
"26",0
"27",0
"28",1.97963084431097
"29",-1.67518972816331
"30",-1.3056267899475
"31",0
"32",0
"33",0
"34",0
"35",0
"36",-0.613861226961335
"37",-5.32320038141827
"38",0
"39",0
"40",0
