"","x"
"1",-1.18476308724982
"2",-0.594786017151346
"3",0
"4",0
"5",-2.77212817281385
"6",-0.76573843512567
"7",2.01232083619247
"8",0
"9",-2.93476951054302
"10",-1.01932523603115
"11",0
"12",-0.626721837824379
"13",1.61139957193784
"14",-5.68591072260232
"15",-6.2678154132297
"16",-3.43896871741958
"17",-1.97556881271881
"18",-3.9098039313447
"19",-2.5853632220563
"20",0
"21",-1.17778229479702
"22",0
"23",-5.20291357319272
"24",-1.28539097788057
"25",0
"26",0
"27",-1.37177474460249
"28",0
"29",1.46830444458445
"30",-0.896499388687358
"31",0
"32",-2.3346476886533
"33",-1.30970159304232
"34",-0.614356497793413
"35",-1.54472148953927
"36",0
