"","V2","V3"
"C00064",0,"glutamine"
"C05512",0,"2'-deoxyinosine"
"C00020",0,"adenosine 5'-monophosphate (AMP)"
"C00212",0.85626605685505,"adenosine"
"C00147",0.365506544783155,"adenine"
"C00294",0.832471805253344,"inosine"
"C00262",1.44151172143181,"hypoxanthine"
"C00086",1.48772087663095,"urea"
"C00366",0.824083786625792,"urate"
"C00385",0,"xanthine"
"C00037",1.49836794209124,"glycine"
"C00242",2.26148841795084,"guanine"
"C00330",0,"2'-deoxyguanosine"
"C00387",1.3165031975074,"guanosine"
"C01762",1.37301224003308,"xanthosine"
"C01367",0,"adenosine 3'-monophosphate (3'-AMP)"
"C00301",0,"adenosine 5'diphosphoribose"
