"","V2","V3"
"C00064",0,"glutamine"
"C00299",1.0222140443358,"uridine"
"C00106",3.14292530576566,"uracil"
"C00178",0,"thymine"
"C05145",0,"3-aminoisobutyrate"
"C00383",0,"malonate (propanedioate)"
"C00086",1.48772087663095,"urea"
"C00099",1.33337796603562,"beta-alanine"
"C00429",2.25604474337276,"5,6-dihydrouracil"
"C00475",0.930718527802611,"cytidine"
"C00055",1.14635011564216,"cytidine 5'-monophosphate (5'-CMP)"
"C02067",1.25101724806706,"pseudouridine"
"C02354",0,"cytosine-2',3'-cyclic monophosphate"
