"","V2","V3"
"81490",0.200304312727437,"PTDSS2"
"9791",0.222418939680773,"PTDSS1"
"8443",0.394640271390451,"GNPAT"
"10162",0.207245472439071,"LPCAT3"
"10390",-0.349121253468133,"CEPT1"
"5130",0,"PCYT1A"
"1119",-0.190933898691723,"CHKA"
"43",-0.740703248655317,"ACHE"
"1103",0,"CHAT"
"5833",0,"PCYT2"
"11145",-1.02063345610244,"PLA2G16"
"5319",0,"PLA2G1B"
"1606",0,"DGKA"
"8611",-1.78986263450022,"PPAP2A"
"5337",-1.70596987280237,"PLD1"
"10554",0,"AGPAT1"
"10423",0.173319532353941,"CDIPT"
"162466",-1.19618561747302,""
"57678",-3.47734310804733,"GPAM"
"2819",-6.02888563544403,"GPD1"
"2820",0.395205543004459,"GPD2"
"3931",-1.57397551339603,"LCAT"
"10434",0.93181346327929,"LYPLA1"
"10908",0.193591888947553,"PNPLA6"
"1040",1.23952678122056,"CDS1"
"56985",-0.809701968165915,"ADPRM"
"23761",-0.339756030921971,"PISD"
"10400",-0.884611613893725,"PEMT"
"9489",0,"PGS1"
"54675",-0.135041073805755,"CRLS1"
"56894",0.325492808463544,"AGPAT3"
"6901",0,"TAZ"
"9926",0.233876367245657,"LPGAT1"
"64850",0,"ETNPPL"
