"","V2","V3"
"2744",-0.643128464745667,"GLS"
"2752",0.410361786810547,"GLUL"
"1373",-2.20026921310606,"CPS1"
"5009",-2.19167593585215,"OTC"
"445",-1.56683463266647,"ASS1"
"435",0.486447165510435,"ASL"
"383",-1.00738483201232,"ARG1"
"162417",0.655903871079269,"NAGS"
"95",0.232900915387313,"ACY1"
"4942",-0.182096312466705,"OAT"
"5831",2.44404214133266,"PYCR1"
"51056",0.147198921806861,"LAP3"
"5033",0.75848011576017,"P4HA1"
"1610",0,"DAO"
"58510",0,"PRODH2"
"8659",-0.766543148286407,"ALDH4A1"
"2805",0.4810194298117,"GOT1"
"112817",-2.30709262272866,"HOGA1"
"4842",-2.46396174987343,"NOS1"
"2628",-0.616816885212613,"GATM"
"2593",0.867646652002629,"GAMT"
"1152",-0.579182318904147,"CKB"
"113451",0.646151673694364,"ADC"
"79814",1.31151810400224,"AGMAT"
"4953",-0.772025546726299,"ODC1"
"5832",0.907561084889903,"ALDH18A1"
"26",1.16214997056017,"AOC1"
"217",-1.90665569485626,"ALDH2"
"6723",0.207842790508847,"SRM"
"262",-0.534283158265258,"AMD1"
"6611",0.919435167424226,"SMS"
"6303",0,"SAT1"
"4128",-3.58227984113912,"MAOA"
"2746",0,"GLUD1"
"57571",-0.55446161933902,"CARNS1"
"55748",0.513309021934776,"CNDP2"
"84735",0,"CNDP1"
"5625",0,"PRODH"
"54498",0,"SMOX"
"112849",-0.928055759614642,"L3HYPDH"
