"","V2","V3"
"C03242",2.02986793733064,"dihomo-linolenate (20:3n3 or n6)"
"C01595",1.01100998927099,"linoleate (18:2n6)"
"C01530",0.842617174183075,"stearate (18:0)"
"C00712",1.88430149413098,"oleate (18:1n9)"
"C00249",0.930879568539244,"palmitate (16:0)"
"C00219",2.00824771615796,"arachidonate (20:4n6)"
"C08281",0,"behenate (22:0)"
"C06429",1.57212554158968,"docosahexaenoate (DHA; 22:6n3)"
"C16526",1.98760322128044,"eicosenoate (20:1n9 or 11)"
"C16527",1.69448312166588,"adrenate (22:4n6)"
"C16513",2.12370048438271,"docosapentaenoate (n3 DPA; 22:5n3)"
"C06428",1.46572216258122,"eicosapentaenoate (EPA; 20:5n3)"
"C06427",1.32367817965332,"linolenate [alpha or gamma; (18:3n3 or 6)]"
