"","V2","V3"
"7173",-3.34208850495935,"TPO"
"81889",0.809853162840914,"FAHD1"
"2954",0.230552131157437,"GSTZ1"
"3081",0.826611253161642,"HGD"
"2805",0.4810194298117,"GOT1"
"4282",1.66044492571069,"MIF"
"3242",-3.83430084906584,"HPD"
"218",-4.04598994184375,"ALDH3A1"
"4128",-3.58227984113912,"MAOA"
"7299",0,"TYR"
"259307",1.89955318873844,"IL4I1"
"6898",-4.244080190471,"TAT"
"1644",-1.24168445703031,"DDC"
"314",-2.44554087210785,"AOC2"
"316",-2.80924560627719,"AOX1"
"2184",-0.313899249038444,"FAH"
"1638",-4.15708998413035,"DCT"
"1312",0,"COMT"
"124",-5.77793572239545,"ADH1A"
"5409",0,"PNMT"
"1621",0,"DBH"
"7054",0.859588476868145,"TH"
"7306",2.19867273009516,"TYRP1"
