"","V2","V3"
"C00122",1.00725240548402,"fumarate"
"C00042",0.899544826615497,"succinate"
"C00026",0,"alpha-ketoglutarate"
"C00041",0.936325072996155,"alanine"
"C00049",2.22925601271037,"aspartate"
"C00152",0.559911732426502,"asparagine"
"C01042",5.36167004504071,"N-acetylaspartate (NAA)"
"C00022",0,"pyruvate"
"C00025",2.12891385855771,"glutamate"
"C00334",1.1467751760314,"gamma-aminobutyrate (GABA)"
"C00064",0,"glutamine"
"C12270",2.00979041984048,"N-acetyl-aspartyl-glutamate (NAAG)"
"C00158",1.02431612207494,"citrate"
