"","V2","V3"
"C00064",-0.252739319987916,"glutamine"
"C00299",1.22726236863361,"uridine"
"C00106",4.31077111571608,"uracil"
"C00178",1.71060241270061,"thymine"
"C05145",0,"3-aminoisobutyrate"
"C00383",0.822250335188445,"malonate (propanedioate)"
"C00086",1.27341854052366,"urea"
"C00099",2.39835283987756,"beta-alanine"
"C00429",3.00726819528477,"5,6-dihydrouracil"
"C00475",0,"cytidine"
"C00055",1.65030105839994,"cytidine 5'-monophosphate (5'-CMP)"
"C02067",1.2867202470991,"pseudouridine"
"C02354",0,"cytosine-2',3'-cyclic monophosphate"
