"","V2","V3"
"218",-3.30012207576669,"ALDH3A1"
"2326",-1.05518662346825,"FMO1"
"1576",-2.99428969847422,"CYP3A4"
"1565",0.522744891627116,"CYP2D6"
"1544",-1.09369661363775,"CYP1A2"
"1555",-0.571999128074239,"CYP2B6"
"1557",-0.771827769255648,"CYP2C19"
"2938",-1.67556687565398,"GSTA1"
"124",-6.88976184229454,"ADH1A"
"7363",-3.23356939146179,"UGT2B4"
"1559",-0.585338329689483,"CYP2C9"
"1548",-5.49159654469147,"CYP2A6"
"4128",-4.89485345774966,"MAOA"
"316",-3.69355848615213,"AOX1"
"1571",-1.50943676443857,"CYP2E1"
"1558",-1.62645071544679,"CYP2C8"
"1577",-2.14315642049388,""
