"","V2","V3"
"81490",0,"PTDSS2"
"9791",0.905779921151875,"PTDSS1"
"8443",0.452409997979321,"GNPAT"
"10162",0,"LPCAT3"
"10390",-0.496098471727631,"CEPT1"
"5130",0,"PCYT1A"
"1119",0,"CHKA"
"43",0,"ACHE"
"1103",0.29672486829381,"CHAT"
"5833",0.462525633313771,"PCYT2"
"11145",-2.32849267349283,"PLA2G16"
"5319",0,"PLA2G1B"
"1606",0,"DGKA"
"8611",-2.21922654413208,"PPAP2A"
"5337",-0.862277883097899,"PLD1"
"10554",0.193823439896205,"AGPAT1"
"10423",0,"CDIPT"
"162466",-1.18417337373686,""
"57678",-3.87301806048282,"GPAM"
"2819",-7.11966415925979,"GPD1"
"2820",0,"GPD2"
"3931",-1.24236260636166,"LCAT"
"10434",0.620317522480257,"LYPLA1"
"10908",0.312509656242715,"PNPLA6"
"1040",0.632419383487234,"CDS1"
"56985",-0.925892283075493,"ADPRM"
"23761",-0.86981646915248,"PISD"
"10400",-0.889621394956014,"PEMT"
"9489",0,"PGS1"
"54675",0,"CRLS1"
"56894",0.196325638977175,"AGPAT3"
"6901",0.242436132738249,"TAZ"
"9926",0,"LPGAT1"
"64850",-1.11115319668933,"ETNPPL"
