"","V2","V3"
"63826",-0.719035125615109,"SRR"
"55349",-0.405500395189959,"CHDH"
"501",-0.437949034236431,"ALDH7A1"
"132158",-1.09822440051371,"GLYCTK"
"635",-1.51821165769672,"BHMT"
"189",-2.63767799105407,"AGXT"
"2593",-1.45303742476492,"GAMT"
"26227",0.681602718545953,"PHGDH"
"29958",-3.14202770090058,"DMGDH"
"875",2.60258778447806,"CBS"
"1491",-0.603954428417915,"CTH"
"2628",-1.43228926823164,"GATM"
"29968",1.65660937670083,"PSAT1"
"51268",0.370725246096768,"PIPOX"
"1757",0,"SARDH"
"5723",1.29409187468031,"PSPH"
"6470",-1.06058889527891,"SHMT1"
"10993",2.80113136210258,"SDS"
"1610",0,"DAO"
"23464",1.04472647646172,"GCAT"
"2731",1.75329717947269,"GLDC"
"211",0.173401142423721,"ALAS1"
"4128",-4.89485345774966,"MAOA"
"9380",0,"GRHPR"
"314",-2.3637341535848,"AOC2"
"275",-2.02115556817814,"AMT"
"1738",-0.154933914585693,"DLD"
"27232",-0.9208762258968,"GNMT"
"669",0.315194304113846,"BPGM"
"2653",0,"GCSH"
