"","V2","V3"
"C00064",-0.252739319987916,"glutamine"
"C05512",0.567775547586247,"2'-deoxyinosine"
"C00020",1.69630429589059,"adenosine 5'-monophosphate (AMP)"
"C00212",0.927917975685808,"adenosine"
"C00147",1.52882846245139,"adenine"
"C00294",1.04810262843549,"inosine"
"C00262",1.93998206434025,"hypoxanthine"
"C00086",1.27341854052366,"urea"
"C00366",0.784285410615759,"urate"
"C00385",0.862935770390515,"xanthine"
"C00037",2.02301994157729,"glycine"
"C00242",2.89247608436808,"guanine"
"C00330",0,"2'-deoxyguanosine"
"C00387",1.54329066409126,"guanosine"
"C01762",2.03844028616422,"xanthosine"
"C01367",3.35507218557459,"adenosine 3'-monophosphate (3'-AMP)"
"C00301",0,"adenosine 5'diphosphoribose"
