"","V2","V3"
"36",-2.21214608355678,"ACADSB"
"35",-2.00681914584113,"ACADS"
"1962",-1.15227858981268,"EHHADH"
"1892",-0.369744687861263,"ECHS1"
"34",-0.688490641126888,"ACADM"
"1632",0.320718655867862,"ECI1"
"38",-0.872153453984286,"ACAT1"
"30",-0.212353915025134,"ACAA1"
"3030",-0.542378105498294,"HADHA"
"33",-4.80575781971742,"ACADL"
"124",-6.88976184229454,"ADH1A"
"2639",0,"GCDH"
"1579",-2.91520052757329,"CYP4A11"
"2180",-1.96523849488476,"ACSL1"
"51",-0.511923266843187,"ACOX1"
"37",-1.02080636510898,"ACADVL"
"1374",-0.591048675437229,"CPT1A"
"1376",0,"CPT2"
"217",-2.11599708909376,"ALDH2"
