"","V2","V3"
"C00258",0.484010250255828,"glycerate"
"C00114",0.712737285794138,"choline"
"C00719",1.43201669806655,"betaine"
"C00300",0.801652129177203,"creatine"
"C05519",0,"allo-threonine"
"C00049",2.50908207004024,"aspartate"
"C02291",4.38433746431109,"cystathionine"
"C00097",2.7176328409131,"cysteine"
"C00213",3.02426883370625,"sarcosine (N-Methylglycine)"
"C00037",2.02301994157729,"glycine"
"C00188",0.920809033882299,"threonine"
"C00065",1.42723925601673,"serine"
"C00022",0,"pyruvate"
"C00078",1.14219766216736,"tryptophan"
