"","V2","V3"
"C00078",1.14219766216736,"tryptophan"
"C00082",0.641737867477274,"tyrosine"
"C00188",0.920809033882299,"threonine"
"C00123",1.11870168407854,"leucine"
"C00407",0.55026030895617,"isoleucine"
"C00047",0.869509233599292,"lysine"
"C00041",0.98444909809028,"alanine"
"C00183",0.789886388350397,"valine"
"C00073",0.739119052783669,"methionine"
"C00065",1.42723925601673,"serine"
"C00049",2.50908207004024,"aspartate"
"C00037",2.02301994157729,"glycine"
"C00148",1.90244970310889,"proline"
"C00097",2.7176328409131,"cysteine"
"C00025",3.13151500675629,"glutamate"
"C00064",-0.252739319987916,"glutamine"
"C00062",0.614627829454182,"arginine"
"C00079",0.653880217082337,"phenylalanine"
"C00135",0,"histidine"
"C00152",0.541706102877318,"asparagine"
