"","V2","V3"
"7172",0.815480373355047,"TPMT"
"3251",1.2635355649822,"HPRT1"
"8833",1.2390731316066,"GMPS"
"3704",0.900118388983077,"ITPA"
"7498",0,"XDH"
"9",-1.16996133108598,"NAT1"
"7378",0.99351303454625,"UPP1"
"1890",1.90126990067512,"TYMP"
"1806",-1.68720427768582,"DPYD"
"1807",-1.20074246046841,"DPYS"
"51733",0,"UPB1"
"7372",0.539611363504332,"UMPS"
"7371",1.55803808966831,"UCK2"
"7083",3.60562946175339,"TK1"
"3614",0.95049655865496,"IMPDH1"
"1548",-5.49159654469147,"CYP2A6"
"978",0,"CDA"
"1066",-4.93227656701728,"CES1"
"7363",-3.23356939146179,"UGT2B4"
"1576",-2.99428969847422,"CYP3A4"
"2990",0.365342858069878,"GUSB"
