"","V2","V3"
"C03242",3.16171677888837,"dihomo-linolenate (20:3n3 or n6)"
"C01595",1.44272226528338,"linoleate (18:2n6)"
"C01530",1.26443552699038,"stearate (18:0)"
"C00712",2.5106811227018,"oleate (18:1n9)"
"C00249",1.25800219485509,"palmitate (16:0)"
"C00219",2.87893291217525,"arachidonate (20:4n6)"
"C08281",0,"behenate (22:0)"
"C06429",2.10594735826628,"docosahexaenoate (DHA; 22:6n3)"
"C16526",2.83021539959298,"eicosenoate (20:1n9 or 11)"
"C16527",2.38585632929684,"adrenate (22:4n6)"
"C16513",2.56322890630705,"docosapentaenoate (n3 DPA; 22:5n3)"
"C06428",2.2183188152903,"eicosapentaenoate (EPA; 20:5n3)"
"C06427",1.88140861915488,"linolenate [alpha or gamma; (18:3n3 or 6)]"
