"","Met","Gene","MetSize","Pathway","Color"
"Glycolysis / Gluconeogenesis",0.2,-0.0151515151515152,5,"","Grey"
"Citrate cycle (TCA cycle)",0.333333333333333,0,6,"","Grey"
"Pentose phosphate pathway",0.111111111111111,0,9,"","Grey"
"Fructose and mannose metabolism",0,-0.03125,6,"","Grey"
"Galactose metabolism",-0.166666666666667,-0.032258064516129,6,"","Grey"
"Fatty acid biosynthesis",-0.375,0,8,"","Grey"
"Primary bile acid biosynthesis",0.111111111111111,0.0588235294117647,9,"","Grey"
"Purine metabolism",0,0,16,"","Grey"
"Pyrimidine metabolism",-0.142857142857143,0,14,"","Grey"
"Alanine, aspartate and glutamate metabolism",0.133333333333333,-0.0277777777777778,15,"","Grey"
"Glycine, serine and threonine metabolism",0.0769230769230769,-0.0256410256410256,13,"","Grey"
"Cysteine and methionine metabolism",0.0833333333333333,-0.027027027027027,12,"","Grey"
"Valine, leucine and isoleucine degradation",0,-0.0227272727272727,6,"","Grey"
"Valine, leucine and isoleucine biosynthesis",0.125,0,8,"","Grey"
"Lysine degradation",-0.125,0,8,"","Grey"
"Arginine and proline metabolism",0,0,23,"","Grey"
"Histidine metabolism",0,0,7,"","Grey"
"Tyrosine metabolism",0.142857142857143,-0.0285714285714286,7,"","Grey"
"Phenylalanine metabolism",0.111111111111111,-0.0555555555555556,9,"","Grey"
"beta-Alanine metabolism",0,0,9,"","Grey"
"Taurine and hypotaurine metabolism",0.285714285714286,0,7,"","Grey"
"Cyanoamino acid metabolism",0,0,9,"","Grey"
"Glutathione metabolism",-0.0909090909090909,0,11,"","Grey"
"Amino sugar and nucleotide sugar metabolism",0,-0.108695652173913,6,"","Grey"
"Glycerophospholipid metabolism",0,-0.0112359550561798,6,"","Grey"
"Sphingolipid metabolism",-0.2,0,5,"","Grey"
"Pyruvate metabolism",0.2,0,5,"","Grey"
"Glyoxylate and dicarboxylate metabolism",0.181818181818182,0,11,"","Grey"
"Butanoate metabolism",0.125,-0.0384615384615385,8,"","Grey"
"Thiamine metabolism",0.2,0,5,"","Grey"
"Nicotinate and nicotinamide metabolism",0,0,6,"","Grey"
"Pantothenate and CoA biosynthesis",0.111111111111111,0,9,"","Grey"
"Sulfur metabolism",0.166666666666667,0,6,"","Grey"
"Aminoacyl-tRNA biosynthesis",-0.05,0,20,"","Grey"
"Biosynthesis of unsaturated fatty acids",-0.285714285714286,0,14,"","Grey"
