Metabolite Name,Log2 Fold Change,Mann-Whitney P Value FDR Adjusted,T-test P value FDR Adjusted
threonine,1.1620256790368171,3.9307015933156461e-05,4.4258237889976532e-05
tryptophan,0.86249647625006554,0.00024212082197619714,0.00011461392762993717
tyramine,0.033423001537449967,0.57736803041015539,1.0
tyrosine,1.3911637281623901,3.6034995162018988e-05,0.00038853447979803383
uridine,0.29998929969533739,0.45468442287922584,0.40646594496265737
UTP,-1.0374133232823382,0.58754149509703468,0.61022548909927055
valine,1.1206263537712453,0.00017058489198074067,0.0005373293537873897
_-alanine,1.9996812075910375,3.6034995162018988e-05,4.5700254540328491e-05
_-glutamyl-2-aminobutyrate(_-Glu-2AB),nan,1.0,1.0
_-glutamylcysteine(_-Glu-Cys),0.58875906880923534,0.0033009735411504695,0.0031719294525106856
