Normal Sample,Tumor Sample,Study
22210-0080Normal,22210-0080Tumor,PAAD
22210-0081Normal,22210-0081Tumor,PAAD
22210-0082Normal,22210-0082Tumor,PAAD
22210-0085Normal,22210-0085Tumor,PAAD
22210-0086Normal,22210-0086Tumor,PAAD
22210-0090Normal,22210-0090Tumor,PAAD
22210-0091Normal,22210-0091Tumor,PAAD
NCIA-01751,NCIA-01752,PAADHussain1
NCIA-01753,NCIA-01754,PAADHussain1
NCIA-01755,NCIA-01756,PAADHussain1
NCIA-01757,NCIA-01758,PAADHussain1
NCIA-01759,NCIA-01760,PAADHussain1
NCIA-01761,NCIA-01762,PAADHussain1
NCIA-01763,NCIA-01764,PAADHussain1
NCIA-01765,NCIA-01766,PAADHussain1
NCIA-01767,NCIA-01768,PAADHussain1
NCIA-01769,NCIA-01770,PAADHussain1
NCIA-01771,NCIA-01772,PAADHussain1
NCIA-01773,NCIA-01774,PAADHussain1
NCIA-01775,NCIA-01776,PAADHussain1
NCIA-01777,NCIA-01778,PAADHussain1
NCIA-01779,NCIA-01780,PAADHussain1
NCIA-01781,NCIA-01782,PAADHussain1
NCIA-01783,NCIA-01784,PAADHussain1
NCIA-01785,NCIA-01786,PAADHussain1
NCIA-01787,NCIA-01788,PAADHussain1
NCIA-01789,NCIA-01790,PAADHussain1
NCIA-01791,NCIA-01792,PAADHussain1
NCIA-01793,NCIA-01794,PAADHussain1
NCIA-01795,NCIA-01796,PAADHussain1
NCIA-04166,NCIA-04165,PAADHussain2
NCIA-04168,NCIA-04167,PAADHussain2
NCIA-04170,NCIA-04169,PAADHussain2
NCIA-04172,NCIA-04171,PAADHussain2
NCIA-04174,NCIA-04173,PAADHussain2
NCIA-04176,NCIA-04175,PAADHussain2
NCIA-04178,NCIA-04177,PAADHussain2
NCIA-04180,NCIA-04179,PAADHussain2
NCIA-04182,NCIA-04181,PAADHussain2
NCIA-04184,NCIA-04183,PAADHussain2
NCIA-04186,NCIA-04185,PAADHussain2
NCIA-04188,NCIA-04187,PAADHussain2
NCIA-04190,NCIA-04189,PAADHussain2
NCIA-04192,NCIA-04191,PAADHussain2
NCIA-04194,NCIA-04193,PAADHussain2
