"","V2","V3"
"593",0,"BCKDHA"
"1738",-0.420692883022731,"DLD"
"38",-1.32541208729968,"ACAT1"
"3157",0,"HMGCS1"
"5019",-1.19683397538387,"OXCT1"
"3155",0,"HMGCL"
"549",-0.651438546179458,"AUH"
"56922",0,"MCCC1"
"1892",0,"ECHS1"
"3712",0,"IVD"
"586",0,"BCAT1"
"30",0,"ACAA1"
"1962",0,"EHHADH"
"36",-1.17026480413066,"ACADSB"
"1629",0,"DBT"
"4594",-0.546071059102365,"MUT"
"84693",0,"MCEE"
"5095",-1.16812217588123,"PCCA"
"316",-5.38244884136817,"AOX1"
"217",-2.8503807949394,"ALDH2"
"4329",-1.01849042939242,"ALDH6A1"
"18",0,"ABAT"
"11112",-0.572968812398344,"HIBADH"
"26275",-0.651647557879201,"HIBCH"
"3028",0.375171782855565,"HSD17B10"
"34",-0.838365033892938,"ACADM"
"35",0,"ACADS"
"27034",0,"ACAD8"
