"","V2","V3"
"1327",0,"COX4I1"
"4718",0,"NDUFC2"
"4717",0,"NDUFC1"
"4716",0,"NDUFB10"
"4715",0,"NDUFB9"
"4714",-0.465723659862022,"NDUFB8"
"4713",0,"NDUFB7"
"4712",0,"NDUFB6"
"4711",0,"NDUFB5"
"4710",0,"NDUFB4"
"4709",0,"NDUFB3"
"4708",0,"NDUFB2"
"4707",0,"NDUFB1"
"126328",0,"NDUFA11"
"4706",0,"NDUFAB1"
"4705",-0.384585584816763,"NDUFA10"
"4704",0,"NDUFA9"
"4702",0,"NDUFA8"
"4701",0,"NDUFA7"
"4700",0,"NDUFA6"
"4698",-0.598567541166235,"NDUFA5"
"4697",-0.381493413572869,"NDUFA4"
"4696",0,"NDUFA3"
"4695",0,"NDUFA2"
"4694",0,"NDUFA1"
"4731",0,"NDUFV3"
"4729",0,"NDUFV2"
"4723",0,"NDUFV1"
"4728",0.376275002155204,"NDUFS8"
"374291",0,"NDUFS7"
"4726",0,"NDUFS6"
"4725",0,"NDUFS5"
"4724",-0.688825852939338,"NDUFS4"
"4722",0,"NDUFS3"
"4720",0,"NDUFS2"
"4719",-0.532984846437975,"NDUFS1"
"1351",0,"COX8A"
"1350",-0.402430674064359,"COX7C"
"1349",0,"COX7B"
"1346",-3.24746821001703,"COX7A1"
"1345",0,"COX6C"
"1537",0,"CYC1"
"498",-0.661126275534237,"ATP5A1"
"495",0,"ATP4A"
"5464",0,"PPA1"
"6391",0,"SDHC"
"6392",-0.734847533682148,"SDHD"
"6389",0,"SDHA"
"6390",0,"SDHB"
"10975",0,"UQCR11"
"29796",0,"UQCR10"
"27089",0,"UQCRQ"
"7381",-0.68056561768425,"UQCRB"
"7388",0,"UQCRH"
"7385",-0.835002983672409,"UQCRC2"
"7384",0,"UQCRC1"
"7386",0,"UQCRFS1"
"1340",0,"COX6B1"
"1337",0.463072988319031,"COX6A1"
"1329",0,"COX5B"
"9377",0,"COX5A"
"506",-0.335559862097019,"ATP5B"
"509",0,"ATP5C1"
"513",0,"ATP5D"
"514",0,"ATP5E"
"516",0,"ATP5G1"
"515",-0.278924901692802,"ATP5F1"
"521",0,"ATP5I"
"522",-0.360656064444301,"ATP5J"
"9551",0.961580485730448,"ATP5J2"
"10476",0,"ATP5H"
"10632",-0.307091138506106,"ATP5L"
"523",0.377277879884947,"ATP6V1A"
"525",1.6565173047683,"ATP6V1B1"
"528",0,"ATP6V1C1"
"51382",0,"ATP6V1D"
"529",-0.333925964826387,"ATP6V1E1"
"9296",0.397921509359364,"ATP6V1F"
"534",-1.584858305854,"ATP6V1G2"
"51606",-0.294645469884445,"ATP6V1H"
"535",-0.399940267839904,"ATP6V0A1"
"9114",0,"ATP6V0D1"
"8992",0,"ATP6V0E1"
"527",0,"ATP6V0C"
"54539",0.435363481872685,"NDUFB11"
"55967",0,"NDUFA12"
"51079",0,"NDUFA13"
