"","V2","V3"
"5160",0,"PDHA1"
"5105",-2.86711391828277,"PCK1"
"5313",1.03489117744293,"PKLR"
"231",0,"AKR1B1"
"2739",0,"GLO1"
"197257",0,"LDHD"
"3029",0,"HAGH"
"5091",0,"PC"
"4200",0,"ME2"
"4199",-1.42649205483607,"ME1"
"4190",-0.309158227900324,"MDH1"
"3939",0,"LDHA"
"55902",0,"ACSS2"
"134526",-0.722072198509513,"ACOT12"
"217",-2.8503807949394,"ALDH2"
"38",-1.32541208729968,"ACAT1"
"31",0,"ACACA"
"9380",-0.444204489201033,"GRHPR"
"1737",0,"DLAT"
"1738",-0.420692883022731,"DLD"
"97",1.028091495089,"ACYP1"
"2271",0,"FH"
