"","V2","V3"
"3292",1.70208711094305,"HSD17B1"
"412",0,"STS"
"6820",0,"SULT2B1"
"1583",0,"CYP11A1"
"1586",0,"CYP17A1"
"1589",-4.0449600651064,"CYP21A2"
"3283",2.6447705522502,"HSD3B1"
"9420",-1.31837771343125,"CYP7B1"
"1584",-0.684860271915634,""
"1543",-3.21897959925502,"CYP1A1"
"6715",1.18259591209867,"SRD5A1"
"1109",0,"AKR1C4"
"1585",-0.530350302580216,"CYP11B2"
"6718",0,"AKR1D1"
"3290",-1.7761276834407,"HSD11B1"
"3291",0,"HSD11B2"
"3293",0,"HSD17B3"
"3294",0,"HSD17B2"
"7363",0,"UGT2B4"
"1588",-1.96452239814196,""
"1577",0,""
"1312",0,"COMT"
"1545",-3.28555674717777,"CYP1B1"
"6783",0,"SULT1E1"
"1581",-1.47456657426244,"CYP7A1"
"1571",-1.5386686944799,"CYP2E1"
"1576",0,"CYP3A4"
