"","V2","V3"
"2744",0,"GLS"
"2752",-0.949347787717615,"GLUL"
"1373",0,"CPS1"
"5009",-2.34409209086005,"OTC"
"445",0,"ASS1"
"435",0,"ASL"
"383",0,"ARG1"
"162417",2.06348713828382,"NAGS"
"95",0.732312956943705,"ACY1"
"4942",-1.60895513926323,"OAT"
"5831",2.09754961933522,"PYCR1"
"51056",0,"LAP3"
"5033",0.603893567464407,"P4HA1"
"1610",0,"DAO"
"58510",-0.441169821582019,"PRODH2"
"8659",-0.813510344420699,"ALDH4A1"
"2805",0,"GOT1"
"4842",-2.45376365110047,"NOS1"
"2628",-1.62618981925292,"GATM"
"2593",-1.65627298722083,"GAMT"
"1152",-3.45347114664331,"CKB"
"113451",0,"ADC"
"79814",2.14824148374022,"AGMAT"
"4953",-1.4350601181792,"ODC1"
"5832",0.517076650405883,"ALDH18A1"
"26",0,"AOC1"
"217",-2.8503807949394,"ALDH2"
"6723",0.682704142126795,"SRM"
"262",-0.583916287950393,"AMD1"
"6611",0,"SMS"
"6303",0,"SAT1"
"4128",-1.34398602404365,"MAOA"
"2746",-0.413515978230476,"GLUD1"
"55748",0,"CNDP2"
"84735",0,"CNDP1"
"5625",0,"PRODH"
