"","V2","V3"
"847",-0.967538283153306,"CAT"
"1962",0,"EHHADH"
"3620",0,"IDO1"
"1543",-3.21897959925502,"CYP1A1"
"438",-1.11618142461649,"ASMT"
"15",0,"AANAT"
"4128",-1.34398602404365,"MAOA"
"1644",0,"DDC"
"125061",0.578741332953903,"AFMID"
"38",-1.32541208729968,"ACAT1"
"1892",0,"ECHS1"
"2639",0,"GCDH"
"4967",-0.638194580726509,"OGDH"
"130013",0,"ACMSD"
"23498",-3.24212066739104,"HAAO"
"8942",0,"KYNU"
"8564",1.28391926232506,"KMO"
"6999",3.00154902486405,"TDO2"
"7166",0,"TPH1"
"883",-0.689701291109737,"CCBL1"
"217",-2.8503807949394,"ALDH2"
"316",-5.38244884136817,"AOX1"
"26",0,"AOC1"
"11185",-3.06532825532323,"INMT"
