"","V2","V3"
"54344",0,"DPM3"
"8818",0.848960077116097,"DPM2"
"29929",0.778291362214578,"ALG6"
"79087",0,"ALG12"
"10195",1.07311566396402,"ALG3"
"4249",0,"MGAT5"
"57171",0.878875695631656,"DOLPP1"
"2530",0,"FUT8"
"2683",0,"B4GALT1"
"6480",-1.28913732130539,"ST6GAL1"
"4248",0,"MGAT3"
"4247",0,"MGAT2"
"4122",0,"MAN2A2"
"4121",-1.25125180984431,"MAN1A1"
"11282",0.822374457461514,"MGAT4B"
"7841",1.15331016492194,"MOGS"
"29880",0,"ALG5"
"85365",0,"ALG2"
"56052",0,"ALG1"
"8813",0,"DPM1"
"1798",0.43545391533474,"DPAGT1"
"1603",0,"DAD1"
"79053",0.710397592760766,"ALG8"
"84920",0.527348089920068,"ALG10"
"4245",0,"MGAT1"
