"","V2","V3"
"81537",0,"SGPP1"
"427",-0.722189135644269,"ASAH1"
"8560",0,"DEGS1"
"55512",0,"SMPD3"
"64781",-1.20167212220836,"CERK"
"8611",-1.29692823501075,"PPAP2A"
"9517",0,"SPTLC2"
"2531",-0.485286321404967,"KDSR"
"9514",-2.35482390953719,"GAL3ST1"
"2717",0.702433358869921,"GLA"
"4758",0,"NEU1"
"7368",0,"UGT8"
"2720",0.465627453477797,"GLB1"
"2629",0.613118473207754,"GBA"
"7357",-1.59281258273213,"UGCG"
"56848",0,"SPHK2"
"8879",0.769827917984559,"SGPL1"
"2581",0,"GALC"
"410",0,"ARSA"
"9331",0,"B4GALT6"
"259230",-0.63778958988545,"SGMS1"
