"","V2","V3"
"C00117",0,"ribose-5P  (R 5P )"
"C00064",0,"glutam ine"
"C00131",0,"dA TP"
"C00008",0,"ADP"
"C00020",0,"AMP"
"C00212",0,"adenosine"
"C00147",0.715118891739902,"adenine"
"C00294",0,"inosine"
"C00262",2.11348876783222,"hypoxanthine"
"C00224",0,"acetyl C oA"
"C00037",0.888137318164991,"glycine"
"C00242",0,"guanine"
"C00035",0.499817919699726,"GDP"
"C00144",0.690116057477913,"GMP"
"C00387",0,"guanosine"
"C00002",0,"ATP"
"C00044",0,"GTP"
"C00942",0.456002632119213,"cG M P"
"C00575",0,"cA M P"
