"","V2","V3"
"C00022",0,"pyruvate"
"C00122",0,"fum arate (Fum )"
"C00024",0,"CoA"
"C00149",0,"m alate (M al)"
"C00311",0,"iso -citrate"
"C00417",0,"cis -aconitate"
"C00042",0,"succinate (S uc)"
"C00158",0,"citrate"
"C00026",0,"2-oxoglutarate (2O G )"
"C00074",0,"phosphoenolpyruvate (P EP )"
