"","V2","V3"
"C00064",1.43127592756601,"GLUTAMINE"
"C00020",0,"ADENOSINE 5'-MONOPHOSPHATE (AMP)"
"C00212",1.77296614025246,"ADENOSINE"
"C00147",2.91596049980001,"ADENINE"
"C03794",-0.833708109059701,"ADENYLOSUCCINATE"
"C00294",0.666133012413297,"INOSINE"
"C00262",-0.645045180461444,"HYPOXANTHINE"
"C00086",0,"UREA"
"C00366",-0.837959037249777,"URATE"
"C00385",-0.706641315827974,"XANTHINE"
"C00037",-1.26282282282171,"GLYCINE"
"C00242",0,"GUANINE"
"C00387",0.863123231587831,"GUANOSINE"
"C01762",-2.30091553536869,"XANTHOSINE"
