"","V2","V3"
"84992",0,"PIGY"
"8818",0.664065387863173,"DPM2"
"9091",0.462069564927689,"PIGQ"
"51227",0,"PIGP"
"5283",-0.337340461733231,"PIGH"
"5279",-0.614044527073331,"PIGC"
"54965",0,"PIGX"
"128869",0.194041695967641,"PIGU"
"51604",0,"PIGT"
"94005",-1.19522484244889,"PIGS"
"93183",-0.708028481322939,"PIGM"
"5281",-0.913703841181064,"PIGF"
"9487",0.721141376178649,"PIGL"
"10026",-0.998188104560764,"PIGK"
"9488",0,"PIGB"
"8733",0,"GPAA1"
"80055",-0.888021381314309,"PGAP1"
"23556",-0.944380410271886,"PIGN"
"5277",1.15785991795583,"PIGA"
"2822",-2.10830762678577,"GPLD1"
"84720",0.64901459408236,"PIGO"
"284098",0,"PIGW"
"55650",-0.977333598473936,"PIGV"
