"","V2","V3"
"124",-4.20680154135859,"ADH1A"
"53630",-5.34443437738221,"BCMO1"
"216",-1.87908490367522,"ALDH1A1"
"316",-5.87540694616942,"AOX1"
"9227",0,"LRAT"
"5959",-2.67686251342876,"RDH5"
"54884",0,"RETSAT"
"6121",0.89278651456443,"RPE65"
"8694",0.524750054667075,"DGAT1"
"1592",0,""
"1551",2.11777425229339,"CYP3A7"
"1543",0,"CYP1A1"
"8608",-0.583734038406592,"RDH16"
"9249",0.56378456655281,"DHRS3"
"1548",0,"CYP2A6"
"1579",-9.22889618118239,"CYP4A11"
"10901",0,"DHRS4"
"7363",0,"UGT2B4"
"8228",0,"PNPLA4"
"8630",-3.7756111716367,"HSD17B6"
