"","V2","V3"
"55577",-0.395638460760666,"NAGK"
"5238",-0.61567137891328,"PGM3"
"6675",0.472259546918331,"UAP1"
"10020",-0.68559209781411,"GNE"
"54187",0.907455494962806,"NANS"
"140838",0,"NANP"
"10007",0,"GNPDA1"
"51005",0,"AMDHD2"
"2673",0,"GFPT1"
"64841",1.03988954449242,""
"5973",0.751691352152828,"RENBP"
"3073",0.458710282207707,"HEXA"
"1118",1.79118883803075,"CHIT1"
"80896",-1.24615597564266,"NPL"
"3098",-0.478306605717949,"HK1"
"55907",0.426764640276701,"CMAS"
"1727",0,"CYB5R3"
"2592",-0.285714015228305,"GALT"
"2582",0,"GALE"
"7358",-0.808297378793934,"UGDH"
"80146",-1.48763356299323,"UXS1"
"4351",-0.344990866057805,"MPI"
"5372",-0.840826635917034,"PMM1"
"5236",0.301468671034047,"PGM1"
"2584",-1.40685980369705,"GALK1"
"29925",0.496917725294266,"GMPPB"
"8790",-1.12637152629003,"FPGT"
"197258",-0.493703975679741,"FUK"
"2762",-0.914226243021925,"GMDS"
"7264",0,"TSTA3"
"2821",1.22526455281256,"GPI"
"7360",0,"UGP2"
"2645",-2.14518942437556,"GCK"
