"","V2","V3"
"10858",1.11721762497859,"CYP46A1"
"9420",-0.972595157354859,"CYP7B1"
"1581",-2.18510303114926,"CYP7A1"
"1593",-1.71115964574735,"CYP27A1"
"6718",1.08621260501565,"AKR1D1"
"1109",-2.6246089457889,"AKR1C4"
"23600",-1.29898922615423,"AMACR"
"8309",-1.60914785903597,"ACOX2"
"9023",-2.79862008273821,"CH25H"
"3295",0,"HSD17B4"
"6342",-0.398249925160386,"SCP2"
"10998",-0.627939416199848,"SLC27A5"
"570",0,"BAAT"
"80270",-0.794937915876926,"HSD3B7"
"1582",-4.92569241939053,"CYP8B1"
"51302",-2.43424896659928,"CYP39A1"
"10005",0.430787058755405,"ACOT8"
