"","V2","V3"
"199857",-0.463040743618922,"ALG14"
"54344",-0.966678459590859,"DPM3"
"8818",0.664065387863173,"DPM2"
"29929",-0.815418547644996,"ALG6"
"79087",0.594060793287249,"ALG12"
"79796",0,"ALG9"
"10195",0.462844099065218,"ALG3"
"4249",-1.1895958626844,"MGAT5"
"57171",0.522968911963333,"DOLPP1"
"2530",-0.675860926851406,"FUT8"
"25834",-3.69282948994961,"MGAT4C"
"2683",-0.744057928264316,"B4GALT1"
"6480",-1.36025760935402,"ST6GAL1"
"4248",-2.32310717720387,"MGAT3"
"4247",0,"MGAT2"
"4122",0,"MAN2A2"
"4121",-0.569813197247559,"MAN1A1"
"11282",1.23451477762113,"MGAT4B"
"23193",0.452147892945368,"GANAB"
"7841",0,"MOGS"
"440138",0.831451550182452,"ALG11"
"3703",0,"STT3A"
"29880",-0.416237589563075,"ALG5"
"85365",0.514346418071367,"ALG2"
"56052",0.537359896493452,"ALG1"
"79868",0.318957652787938,"ALG13"
"8813",0,"DPM1"
"1798",-0.229564135587477,"DPAGT1"
"22845",0,"DOLK"
"1603",-0.305256052255686,"DAD1"
"79053",0,"ALG8"
"84920",0,"ALG10"
"4245",0,"MGAT1"
