"","V2","V3"
"6240",0,"RRM1"
"7498",-2.14459592155626,"XDH"
"5631",-0.814874264412988,"PRPS1"
"5471",-0.371233775643502,"PPAT"
"2618",-0.600102315753204,"GART"
"471",-0.802265372101195,"ATIC"
"158",-0.332835103472433,"ADSL"
"10606",0.258367525408764,"PAICS"
"87178",-0.525313844580146,"PNPT1"
"5136",-1.07091925621401,""
"107",1.94888896658842,"ADCY1"
"661",0.546858870189352,"POLR3D"
"5422",0.311044229995781,"POLA1"
"953",-0.521072898314292,"ENTPD1"
"954",0,"ENTPD2"
"4830",-0.549314215648683,"NME1"
"203",0.428057046480514,"AK1"
"159",-0.60288927848711,"ADSS"
"270",-1.79189348165374,"AMPD1"
"4907",-1.28772674539973,"NT5E"
"132",-0.806426483632261,"ADK"
"353",1.00855058640194,"APRT"
"100",-0.802740140259184,"ADA"
"4860",-2.19689520841698,"PNP"
"2766",0,"GMPR"
"3614",0,"IMPDH1"
"8833",0.960410517480296,"GMPS"
"955",0.779884924528337,""
"3251",1.02493241442591,"HPRT1"
"2987",0,"GUK1"
"9615",-1.99414686398883,"GDA"
"55821",-1.63448670860718,"ALLC"
"374659",0.569386253953117,"HDDC3"
"58497",-1.02205007379175,"PRUNE"
"2977",-0.654392476257484,"GUCY1A2"
"9060",-3.00660869213178,"PAPSS2"
"5167",-1.52985112312392,"ENPP1"
"5198",0,"PFAS"
"3704",0,"ITPA"
"318",0,"NUDT2"
"1716",-0.288795023802061,"DGUOK"
"55276",0,"PGM2"
"11164",-1.02447030203236,"NUDT5"
"2272",0,"FHIT"
"5313",-7.86834384918901,"PKLR"
"1633",0.371012609734984,"DCK"
"84284",-0.654862630356273,"NTPCR"
"646625",0,"URAD"
"5141",0,"PDE4A"
"5236",0.301468671034047,"PGM1"
"131870",0.909309730827957,"NUDT16"
