"","V2","V3"
"10157",-1.85845322559324,"AASS"
"1892",-0.962273254363623,"ECHS1"
"1962",-1.77700730021799,"EHHADH"
"501",-0.892501695491797,"ALDH7A1"
"51166",-0.537648853530829,"AADAT"
"4967",1.17544358387516,"OGDH"
"38",0.746411820179905,"ACAT1"
"2639",0.311451240606877,"GCDH"
"51268",-5.62789610304918,"PIPOX"
"1743",0.435346046197924,"DLST"
"8424",-8.40365327506504,"BBOX1"
"223",-1.44714703462879,"ALDH9A1"
"55217",0,"TMLHE"
"4297",0,"KMT2A"
"8985",0.766761711110827,"PLOD3"
"5351",-0.90462418281987,"PLOD1"
"217",-1.85880424240803,"ALDH2"
"85007",-0.354779089113798,"PHYKPL"
"123688",-1.48990141683419,"HYKK"
