"","V2","V3"
"C00327",0,"CITRULLINE"
"C00062",0,"ARGININE"
"C00077",-0.547939653584578,"ORNITHINE"
"C00025",-0.570815268139151,"GLUTAMATE"
"C00134",2.32434566211335,"PUTRESCINE"
"C00148",0,"PROLINE"
"C01157",-0.820626615046663,"TRANS-4-HYDROXYPROLINE"
"C00049",0.859355086084628,"ASPARTATE"
"C00122",-1.05379842781396,"FUMARATE"
"C00064",1.43127592756601,"GLUTAMINE"
"C00581",-0.991675105231361,"GUANIDINOACETATE"
"C00300",1.53754579759921,"CREATINE"
"C00791",-1.56469086618188,"CREATININE"
"C00086",0,"UREA"
"C00334",-1.81325851840363,"GAMMA-AMINOBUTYRATE (GABA)"
