"","V2","V3"
"2053",-1.04508135836576,"EPHX2"
"1555",-7.75863305472254,"CYP2B6"
"1573",-5.35553366209316,"CYP2J2"
"1558",-2.52392337830204,"CYP2C8"
"247",2.08551953927032,"ALOX15B"
"242",-2.77970756922613,"ALOX12B"
"113612",0,"CYP2U1"
"2876",0.75623844831207,"GPX1"
"4051",-5.56474978479396,"CYP4F3"
"1579",-9.22889618118239,"CYP4A11"
"239",0,"ALOX12"
"246",-1.3330692816331,"ALOX15"
"5742",-2.38093488929188,"PTGS1"
"5319",-2.27019920472263,"PLA2G1B"
"240",-0.968891862497915,"ALOX5"
"4048",-0.276252769483553,"LTA4H"
"4056",-1.27165416911887,"LTC4S"
"2678",-6.42690789472341,"GGT1"
"5740",-4.7877220769769,"PTGIS"
"9536",0,"PTGES"
"6916",0.921660233528331,"TBXAS1"
"8644",-4.42491497005585,"AKR1C3"
"5730",-5.8569277622994,"PTGDS"
"873",0,"CBR1"
"127281",-0.986144596983711,"FAM213B"
"1557",0,"CYP2C19"
"11283",0,"CYP4F8"
"1571",-1.13187736639506,"CYP2E1"
