"","x"
"1",0
"2",0
"3",0
"4",-0.166702811322833
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0.710514603850627
"11",-0.490831178864704
"12",0.817962255485186
"13",-0.980798494196782
"14",-0.300642180113186
"15",-0.161801940667413
"16",-1.21969965671241
"17",-0.221623931465984
"18",-1.6400238278566
"19",0
"20",-1.04571044440346
"21",1.28338747224591
"22",0.322003041047425
"23",-0.306482097327512
"24",0
"25",-0.359539438390917
"26",0
"27",0.471539059328427
"28",-0.283132988028793
"29",-0.363743851665761
"30",0
