"","x"
"1",-0.308016797315012
"2",0.198659836113828
"3",0.663129661694771
"4",0
"5",0.350468161391115
"6",0
"7",0.359590429345264
"8",-0.303108333264467
"9",-0.206985812573075
"10",0.703393494883704
"11",-0.848739922019762
"12",0.179237116705709
"13",0.283142050471771
"14",0
"15",0.471692439481538
"16",0.552925605655162
"17",-0.263566163053644
"18",0
"19",0.168100317262141
"20",-0.254585514671455
"21",0.358739388537137
"22",-0.248456157891805
"23",0.378234623577116
"24",0
"25",-0.212739503809527
