"","x"
"1",1.18175618934534
"2",0
"3",0.254825001000414
"4",-0.942648371698137
"5",0
"6",-0.395211157023418
"7",-0.453835535950113
"8",-0.826699427898761
"9",0.784359737652411
"10",0.306930238912465
"11",-1.6159623155534
"12",0.750231071914982
"13",-1.66958299426671
"14",0
"15",0
"16",-0.504516329644428
"17",1.62909297348688
"18",-0.527586216030592
"19",0.258781205972062
"20",1.61827605699065
"21",-0.236859403660519
"22",0.514143608433063
"23",0
"24",0.340674201909038
"25",-1.76951539834465
"26",0
"27",0
"28",-0.229417760991686
"29",0
