"","x"
"1",0
"2",0
"3",0.293690280230164
"4",0.852585309837399
"5",0.328200805761417
"6",0
"7",0.345890775112888
"8",0.827377107949589
"9",0
"10",1.06047275713007
"11",-0.343304145998202
"12",0.458080058012178
"13",0.673074058844275
"14",-0.93046965635564
"15",0
"16",0
"17",-1.3193473444943
"18",0
"19",0.442392795423356
"20",-0.71227636206231
"21",0
"22",0
"23",0.439026531971159
"24",0.194258794606576
"25",0.65462518800463
"26",0
"27",-0.188770478014833
"28",0
"29",0
"30",0
"31",0
"32",0.545558255793737
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",-1.19533898850671
"41",-0.526529261328315
