"","x"
"1",-0.493078206688802
"2",-0.269522970949698
"3",0
"4",0
"5",0
"6",-0.424151312642818
"7",-0.246765156575981
"8",-0.11258358587008
"9",0
"10",0
"11",-0.122738472237145
"12",-0.178697809164163
"13",0
"14",-0.226757986443184
"15",0
"16",0
"17",-0.176545100950646
"18",0
"19",0
"20",-0.422261643263148
"21",0
"22",-0.372489366708347
"23",0
"24",0
"25",0
"26",0
"27",0.369074060442403
"28",-0.204109429282632
"29",0
"30",-0.440449182974159
"31",0
"32",-0.21724812987093
"33",-0.406758171770562
"34",-0.171687808462288
"35",0
"36",0
"37",-0.158737189324793
"38",-0.191327485059183
"39",-0.215265210492245
"40",-1.59631945489547
"41",0
"42",0
"43",-0.205889836118375
"44",0
"45",0
"46",0
"47",-0.529926468132954
"48",-0.138278209247526
"49",-0.102883439996955
"50",-0.185376349595678
"51",0
"52",0
"53",0
"54",0
"55",-0.191305652279832
"56",-0.136158882075001
"57",0
"58",0
"59",0
"60",0
"61",0.328978110548453
"62",0
"63",0
"64",0
"65",0
"66",0
"67",-0.206347542680454
"68",0
"69",-0.276482724414782
"70",0
"71",0
"72",-0.244746834430837
"73",0.261449553620444
"74",-2.08358186133525
"75",0.183244261536064
"76",-0.154305352174775
"77",-0.325145123305029
"78",0
"79",-0.747505187008188
"80",-0.245032672159578
"81",0
"82",-0.303118240328807
"83",-0.107133136466262
"84",0
"85",0
"86",0
"87",-0.224718293642638
