"","x"
"1",0
"2",-0.538798287049151
"3",-0.977348889059525
"4",-0.552292064277925
"5",-1.17035627897236
"6",0.235036944917466
"7",0
"8",-1.37545068320111
"9",0.532150675311648
"10",-1.0411838951742
"11",1.55538820075674
"12",0
"13",0.567553980435346
"14",-0.527586216030592
"15",0
"16",-0.581478532316179
"17",-0.269084433537627
"18",-1.64505589856513
"19",-1.6159623155534
"20",-0.395211157023418
"21",-0.591354846583162
"22",0
"23",1.41870856611455
"24",0.643399416080568
"25",0.429889898363751
"26",-2.58238999087463
"27",-1.27900661765396
"28",0.725703398961919
"29",0
"30",0.797860118335196
"31",0
"32",0.514143608433063
"33",0.254355792000615
"34",0.274351155184533
"35",-1.0153596087115
"36",-2.12894981530721
