"","x"
"1",0
"2",0.402275386741991
"3",0.154733504714613
"4",0.673074058844275
"5",-0.220901773976506
"6",0.629112872451989
"7",-0.242058700361724
"8",-0.343304145998202
"9",0.65462518800463
"10",0.84830659571009
"11",-1.3193473444943
"12",-0.636430394538446
"13",-0.700630329593698
"14",-1.93355687892963
"15",-0.598512771249187
"16",0
"17",-0.231002405535003
"18",0
"19",0.151761037053474
"20",0
"21",0.154290786715103
"22",0.930316663954323
"23",0
"24",0
"25",0
"26",0.205906992357611
"27",0
"28",0
